target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_key_resp.rt,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,para_mouse.clicked_name,rest_text.stopped,rest_key.stopped,rest_inst_text.stopped,rest_time.stopped,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.07347789999994,54.07347789999994,56.00064250000014,space,4.831783799999812,space,56.14855469999975,116.13281849999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005048500000157219,-0.03981481481481482,-0.22407407407407406,0,0,0,121.0559247000001,prac,2,2,2,positive,negative,123.31640900000002,123.31640900000002,123.31640900000002,123.31640900000002,124.28065719999995,124.35029649999979,j,j,1,4.8304754000000685,129.13066230000004,129.13066230000004,129.13066230000004,130.17740219999996,130.17740219999996,130.17740219999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,130.17740219999996,130.17740219999996,130.17740219999996,130.17740219999996,131.17426109999997,131.20544040000004,j,j,1,1.7578048999998828,132.90414009999995,132.90414009999995,132.90414009999995,133.95966550000003,133.95966550000003,133.95966550000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,133.95966550000003,133.95966550000003,133.95966550000003,133.95966550000003,134.93871959999979,135.00792049999973,k,k,1,1.6749758999999358,136.58545279999998,136.58545279999998,136.58545279999998,137.6305342999999,137.6305342999999,137.6305342999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,137.6305342999999,137.6305342999999,137.6305342999999,137.6305342999999,138.6041792000001,138.66807689999996,j,j,1,1.6631246000001738,140.26790419999998,140.26790419999998,140.26790419999998,141.30815810000013,141.30815810000013,141.30815810000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,positive,141.30815810000013,141.30815810000013,141.30815810000013,141.30815810000013,142.2865222999999,142.3528206000001,l,l,1,1.4671462000001156,143.79359859999977,143.79359859999977,143.79359859999977,143.79359859999977,143.79359859999977,143.79359859999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,143.79359859999977,143.79359859999977,143.79359859999977,143.79359859999977,144.77014759999975,144.83268139999973,k,k,1,1.9699015999999574,146.74353029999975,146.74353029999975,146.74353029999975,147.77341849999993,147.77341849999993,147.77341849999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,147.77341849999993,147.77341849999993,147.77341849999993,147.77341849999993,148.76942169999984,148.79977629999985,l,l,1,1.460916200000156,150.24073409999983,150.24073409999983,150.24073409999983,150.24073409999983,150.24073409999983,150.24073409999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,150.24073409999983,150.24073409999983,150.24073409999983,150.24073409999983,151.22797009999977,151.2642840999997,k,k,1,1.920227800000248,153.1373083999997,153.1373083999997,153.1373083999997,154.16733739999972,154.16733739999972,154.16733739999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,154.16733739999972,154.16733739999972,154.16733739999972,154.16733739999972,155.14732520000007,155.22041219999983,j,j,1,1.5478907000001527,156.69141889999992,156.69141889999992,156.69141889999992,157.73952000000008,157.73952000000008,157.73952000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
