target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,exp_end_key.rt,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.50641819999987,59.50641819999987,61.493353899999875,space,3.013584900000069,space,54.86017800000013,118.44780530000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004746400000158246,0.005555555555555556,-0.2537037037037037,0,0,0,121.74054819999992,prac,2,2,2,positive,neutral,123.90544720000003,123.90544720000003,123.90544720000003,123.90544720000003,124.88066709999998,124.95392249999986,k,k,1,8.164545500000031,133.06821300000001,133.06821300000001,133.06821300000001,134.11268819999987,134.11268819999987,134.11268819999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,134.11268819999987,134.11268819999987,134.11268819999987,134.11268819999987,135.08290999999986,135.14594739999984,j,j,1,2.445432100000062,137.5331546,137.5331546,137.5331546,138.58168780000005,138.58168780000005,138.58168780000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,138.58168780000005,138.58168780000005,138.58168780000005,138.58168780000005,139.5745895,139.60863089999998,l,l,1,1.576677600000039,141.13341409999998,141.13341409999998,141.13341409999998,142.17578479999997,142.17578479999997,142.17578479999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,142.17578479999997,142.17578479999997,142.17578479999997,142.17578479999997,143.1765370999999,143.2143747,j,j,1,2.1170296000000235,145.26844600000004,145.26844600000004,145.26844600000004,146.3102770999999,146.3102770999999,146.3102770999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,146.3102770999999,146.3102770999999,146.3102770999999,146.3102770999999,147.28126599999996,147.35125870000002,k,k,1,1.3296781000001374,148.64379129999998,148.64379129999998,148.64379129999998,148.64379129999998,148.64379129999998,148.64379129999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,148.64379129999998,148.64379129999998,148.64379129999998,148.64379129999998,149.63109259999987,149.66381539999998,j,k,0,1.835375799999838,151.4762108,151.4762108,151.4762108,152.51123949999987,152.51123949999987,152.51123949999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,152.51123949999987,152.51123949999987,152.51123949999987,152.51123949999987,153.52059599999984,153.57383519999985,k,k,1,1.335548000000017,154.8527486999999,154.8527486999999,154.8527486999999,154.8527486999999,154.8527486999999,154.8527486999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,154.8527486999999,154.8527486999999,154.8527486999999,154.8527486999999,155.8502719999999,155.88283269999988,j,j,1,1.3103903000001083,157.16725509999992,157.16725509999992,157.16725509999992,157.16725509999992,157.16725509999992,157.16725509999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,157.16725509999992,157.16725509999992,157.16725509999992,157.16725509999992,158.14093890000004,158.20730779999985,k,k,1,1.0889329999999973,159.2554513,159.2554513,159.2554513,159.2554513,159.2554513,159.2554513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
