target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.57933020000019,82.57933020000019,84.48615950000021,space,2.8923346999995374,space,59.177117299999736,145.72321740000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004532699999799661,0.12685185185185185,-0.42314814814814816,0,0,0,149.0726794000002,prac,2,2,1,negative,positive,151.28746980000005,151.28746980000005,151.28746980000005,151.28746980000005,152.25287079999998,152.32095729999992,l,l,1,2.9465649000003395,155.23348699999997,155.23348699999997,155.23348699999997,156.28654570000026,156.28654570000026,156.28654570000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,156.28654570000026,156.28654570000026,156.28654570000026,156.28654570000026,157.25471900000002,157.31805090000034,l,l,1,1.319443500000034,158.61396530000002,158.61396530000002,158.61396530000002,158.61396530000002,158.61396530000002,158.61396530000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,158.61396530000002,158.61396530000002,158.61396530000002,158.61396530000002,159.60585840000022,159.63664900000003,j,j,1,1.7609152999998514,161.35760470000014,161.35760470000014,161.35760470000014,162.44466409999995,162.44466409999995,162.44466409999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,162.44466409999995,162.44466409999995,162.44466409999995,162.44466409999995,163.37360380000018,163.47406730000012,l,l,1,1.6470343000000867,165.02322219999996,165.02322219999996,165.02322219999996,166.07220780000034,166.07220780000034,166.07220780000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,166.07220780000034,166.07220780000034,166.07220780000034,166.07220780000034,167.0465623,167.11294220000036,j,j,1,1.5551735999997618,168.59838639999998,168.59838639999998,168.59838639999998,169.65038090000007,169.65038090000007,169.65038090000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,169.65038090000007,169.65038090000007,169.65038090000007,169.65038090000007,170.62786200000028,170.6888630000003,k,k,1,1.4076999999997497,172.08826810000028,172.08826810000028,172.08826810000028,172.08826810000028,172.08826810000028,172.08826810000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,172.08826810000028,172.08826810000028,172.08826810000028,172.08826810000028,173.04517410000017,173.10631280000007,j,j,1,1.3244928999997683,174.43399420000014,174.43399420000014,174.43399420000014,174.43399420000014,174.43399420000014,174.43399420000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,174.43399420000014,174.43399420000014,174.43399420000014,174.43399420000014,175.3729304000003,175.4694787000003,k,k,1,1.0999746000002233,176.48807880000004,176.48807880000004,176.48807880000004,176.48807880000004,176.48807880000004,176.48807880000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,176.48807880000004,176.48807880000004,176.48807880000004,176.48807880000004,177.47509370000034,177.5099551000003,j,j,1,1.5474174999999377,179.00474750000012,179.00474750000012,179.00474750000012,180.05034890000024,180.05034890000024,180.05034890000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
