target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_key_resp.rt,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.37977950000004,57.37977950000004,59.36846949999995,space,9.337986699999874,space,55.07920339999987,122.85867630000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007982299999866882,0.32314814814814813,-0.4064814814814815,0,0,0,126.76204630000007,prac,1,1,2,positive,positive,128.9485271000001,128.9485271000001,128.9485271000001,128.9485271000001,129.92289019999998,129.98406079999995,l,l,1,2.4938969999998335,132.42052260000014,132.42052260000014,132.42052260000014,133.4654574000001,133.4654574000001,133.4654574000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,133.4654574000001,133.4654574000001,133.4654574000001,133.4654574000001,134.46381110000016,134.49284820000003,l,l,1,1.3835850000000391,135.85393820000013,135.85393820000013,135.85393820000013,135.85393820000013,135.85393820000013,135.85393820000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,135.85393820000013,135.85393820000013,135.85393820000013,135.85393820000013,136.82082949999995,136.89416170000004,l,k,0,3.1937941999999566,140.04270640000004,140.04270640000004,140.04270640000004,141.09173699999997,141.09173699999997,141.09173699999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,141.09173699999997,141.09173699999997,141.09173699999997,141.09173699999997,142.08214270000008,142.11340680000012,j,j,1,1.1116219000000456,143.20482349999997,143.20482349999997,143.20482349999997,143.20482349999997,143.20482349999997,143.20482349999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,143.20482349999997,143.20482349999997,143.20482349999997,143.20482349999997,144.18502740000008,144.25178430000005,k,k,1,1.1553558000000521,145.360856,145.360856,145.360856,145.360856,145.360856,145.360856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,145.360856,145.360856,145.360856,145.360856,146.33926210000004,146.40425849999997,k,k,1,1.0668915000001107,147.4332127,147.4332127,147.4332127,147.4332127,147.4332127,147.4332127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,positive,147.4332127,147.4332127,147.4332127,147.4332127,148.4202017,148.44946389999996,l,l,1,1.0462317999999868,149.48138160000008,149.48138160000008,149.48138160000008,149.48138160000008,149.48138160000008,149.48138160000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,149.48138160000008,149.48138160000008,149.48138160000008,149.48138160000008,150.47273960000007,150.51038330000006,l,l,1,1.9246212000000469,152.37958430000003,152.37958430000003,152.37958430000003,153.42256910000015,153.42256910000015,153.42256910000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,negative,153.42256910000015,153.42256910000015,153.42256910000015,153.42256910000015,154.42651769999998,154.456948,j,j,1,1.0028313000000253,155.4337574000001,155.4337574000001,155.4337574000001,155.4337574000001,155.4337574000001,155.4337574000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,155.4337574000001,155.4337574000001,155.4337574000001,155.4337574000001,156.41775529999995,156.46094770000013,l,l,1,1.1141313999999056,157.5522622000001,157.5522622000001,157.5522622000001,157.5522622000001,157.5522622000001,157.5522622000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,157.5522622000001,157.5522622000001,157.5522622000001,157.5522622000001,158.52649760000008,158.58890569999994,j,j,1,1.0995700000000852,159.65399960000013,159.65399960000013,159.65399960000013,159.65399960000013,159.65399960000013,159.65399960000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,159.65399960000013,159.65399960000013,159.65399960000013,159.65399960000013,160.62416030000009,160.68614750000006,j,j,1,0.8808056000000306,161.54259060000004,161.54259060000004,161.54259060000004,161.54259060000004,161.54259060000004,161.54259060000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,161.54259060000004,161.54259060000004,161.54259060000004,161.54259060000004,162.53517379999994,162.56924320000007,k,k,1,0.8704027999999653,163.40896250000014,163.40896250000014,163.40896250000014,163.40896250000014,163.40896250000014,163.40896250000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,163.40896250000014,163.40896250000014,163.40896250000014,163.40896250000014,164.41180980000013,164.44228840000005,k,k,1,0.7458709999998518,165.15559210000015,165.15559210000015,165.15559210000015,165.15559210000015,165.15559210000015,165.15559210000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,165.15559210000015,165.15559210000015,165.15559210000015,165.15559210000015,166.1557401,166.1858373,j,j,1,0.9155863999999383,167.0748191,167.0748191,167.0748191,167.0748191,167.0748191,167.0748191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,167.0748191,167.0748191,167.0748191,167.0748191,168.06556999999998,168.09442160000003,k,k,1,0.856909000000087,168.9387630000001,168.9387630000001,168.9387630000001,168.9387630000001,168.9387630000001,168.9387630000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,168.9387630000001,168.9387630000001,168.9387630000001,168.9387630000001,169.92563169999994,169.95631980000007,j,j,1,0.9154172999999446,170.85188570000014,170.85188570000014,170.85188570000014,170.85188570000014,170.85188570000014,170.85188570000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,0,17,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,170.85188570000014,170.85188570000014,170.85188570000014,170.85188570000014,171.84357490000002,171.88008390000005,k,k,1,1.0019257999999809,172.85497520000013,172.85497520000013,172.85497520000013,172.85497520000013,172.85497520000013,172.85497520000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,1,0,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,172.85497520000013,172.85497520000013,172.85497520000013,172.85497520000013,173.85030580000011,173.8811409,k,k,1,0.7581832999999278,174.62310430000002,174.62310430000002,174.62310430000002,174.62310430000002,174.62310430000002,174.62310430000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,1,1,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,174.62310430000002,174.62310430000002,174.62310430000002,174.62310430000002,175.61238279999998,175.64270729999998,k,k,1,0.782194600000139,176.40185530000008,176.40185530000008,176.40185530000008,176.40185530000008,176.40185530000008,176.40185530000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,1,2,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,176.40185530000008,176.40185530000008,176.40185530000008,176.40185530000008,177.39705430000004,177.43270610000013,k,k,1,0.7081944999999905,178.1256704,178.1256704,178.1256704,178.1256704,178.1256704,178.1256704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,1,3,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,178.1256704,178.1256704,178.1256704,178.1256704,179.08789509999997,179.15331230000015,l,l,1,0.6931131999999707,179.81496100000004,179.81496100000004,179.81496100000004,179.81496100000004,179.81496100000004,179.81496100000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
