target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,73.4898917999817,17.75536741002579,None,91.26789600000484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,neutral,1,l,j,,,,,0,0,0,8,,,,,,,,,,,112.93422250001458,None,prac,2,2,1,neutral,positive,j,j,1,1.7268212999915704,114.96626630000537,115.97000090003712,115.95339300000342,None,114.96626630000537,None,114.96626630000537,None,114.96626630000537,None,117.68687820003834,None,117.68687820003834,None,117.68687820003834,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,neutral,2,k,k,,,,,0,1,1,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.8342439999687485,118.70179710001685,119.7010094000143,119.68668720003916,None,118.70179710001685,None,118.70179710001685,None,118.70179710001685,None,120.51747511001886,None,120.51747511001886,None,120.51747511001886,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,negative,1,k,k,,,,,0,2,2,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.7979455000022426,120.52680410002358,121.53657760005444,121.51989550003782,None,120.52680410002358,None,120.52680410002358,None,120.52680410002358,None,122.31716751005152,None,122.31716751005152,None,122.31716751005152,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,positive,2,k,k,,,,,0,3,3,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.8146142000332475,122.3344589000335,123.33389470004477,123.31722440000158,None,122.3344589000335,None,122.3344589000335,None,122.3344589000335,None,124.13387771003764,None,124.13387771003764,None,124.13387771003764,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,positive,2,j,l,,,,,0,4,4,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.8487719999975525,124.14895120001165,125.1531854000059,125.13422390003689,None,124.14895120001165,None,124.14895120001165,None,124.14895120001165,None,125.98413291003672,None,125.98413291003672,None,125.98413291003672,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,negative,1,l,j,,,,,0,5,5,5,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,1.1320181000046432,126.0042170000379,127.01753190002637,126.98642710002605,None,126.0042170000379,None,126.0042170000379,None,126.0042170000379,None,128.11741201003898,None,128.11741201003898,None,128.11741201003898,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,positive,1,j,l,,,,,0,6,6,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.8827837000135332,128.13584700005595,129.1363053000532,129.11980520002544,None,128.13584700005595,None,128.13584700005595,None,128.13584700005595,None,130.0007191100216,None,130.0007191100216,None,130.0007191100216,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,negative,2,k,k,,,,,0,7,7,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.7643540999852121,130.01155520003522,131.01965660002315,131.00306510005612,None,130.01155520003522,None,130.01155520003522,None,130.01155520003522,None,131.76704851003015,None,131.76704851003015,None,131.76704851003015,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,neutral,1,k,k,,,,,0,8,8,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.7484367999713868,131.78295610001078,132.7836797000491,132.76702250004746,None,131.78295610001078,None,131.78295610001078,None,131.78295610001078,None,133.5169674100529,None,133.5169674100529,None,133.5169674100529,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
