target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,59.763886900036596,19.431145470018965,None,79.21043279999867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,negative,1,l,j,,,,,0,0,0,5,,,,,,,,,,,84.69652340002358,None,prac,1,1,1,negative,positive,l,l,1,2.153472700039856,86.72667230002116,87.72687650006264,87.71020510001108,None,86.72667230002116,None,86.72667230002116,None,86.72667230002116,None,89.87727100006305,None,89.87727100006305,None,89.87727100006305,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,neutral,2,k,k,,,,,0,1,1,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,1.0358184000942856,90.89250120008364,91.89356070000213,91.87678659998346,None,90.89250120008364,None,90.89250120008364,None,90.89250120008364,None,92.91000427004182,None,92.91000427004182,None,92.91000427004182,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,negative,2,j,l,,,,,0,2,2,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,j,1,0.9315729000372812,92.9284513000166,93.94338950002566,93.91013500001281,None,92.9284513000166,None,92.9284513000166,None,92.9284513000166,None,94.8433305700426,None,94.8433305700426,None,94.8433305700426,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,neutral,1,k,k,,,,,0,3,3,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.8486636000452563,94.85771120002028,95.86004980001599,95.84363580006175,None,94.85771120002028,None,94.85771120002028,None,94.85771120002028,None,96.69328297000611,None,96.69328297000611,None,96.69328297000611,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,negative,1,k,k,,,,,0,4,4,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.6987183000892401,96.70122980000451,97.71001150005031,97.69334430003073,None,96.70122980000451,None,96.70122980000451,None,96.70122980000451,None,98.39324226999888,None,98.39324226999888,None,98.39324226999888,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,negative,1,j,l,,,,,0,5,5,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,j,k,0,1.1488864999264479,98.39858010003809,99.41003080003429,99.39328950003255,None,98.39858010003809,None,98.39858010003809,None,98.39858010003809,None,100.54328590002842,None,100.54328590002842,None,100.54328590002842,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,neutral,2,l,j,,,,,0,6,6,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,l,l,1,1.0529930000193417,101.54841729998589,102.55994830001146,102.54324260004796,None,101.54841729998589,None,101.54841729998589,None,101.54841729998589,None,103.59312747000949,None,103.59312747000949,None,103.59312747000949,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,positive,1,l,j,,,,,0,7,7,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,l,l,1,1.0316786000039428,103.59944630006794,104.60984290007036,104.59316080005374,None,103.59944630006794,None,103.59944630006794,None,103.59944630006794,None,105.62648167008301,None,105.62648167008301,None,105.62648167008301,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,positive,2,l,j,,,,,0,8,8,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,1.0828228000318632,105.63101810007356,106.64320420008153,106.62646389997099,None,105.63101810007356,None,105.63101810007356,None,105.63101810007356,None,107.71077687003417,None,107.71077687003417,None,107.71077687003417,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
