target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,60.03986909997184,16.509203429950865,None,76.57742200000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,positive,1,j,l,,,,,0,0,0,6,,,,,,,,,,,98.67695310001727,None,prac,2,2,1,positive,negative,j,j,1,3.075596100068651,100.68418069998734,101.69066179997753,101.65730780002195,None,100.68418069998734,None,100.68418069998734,None,100.68418069998734,None,104.75740380003117,None,104.75740380003117,None,104.75740380003117,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,positive,2,j,l,,,,,0,1,1,15,,,,,,,,,,,,,prac,1,1,2,positive,negative,j,j,1,1.0527788000181317,105.76135079993401,106.77388430002611,106.74062589998357,None,105.76135079993401,None,105.76135079993401,None,105.76135079993401,None,107.8071896300302,None,107.8071896300302,None,107.8071896300302,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,neutral,2,j,l,,,,,0,2,2,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,j,j,1,0.6817977000027895,107.81121419998817,108.82388749998063,108.80718070000876,None,107.81121419998817,None,107.81121419998817,None,107.81121419998817,None,109.49048553003232,None,109.49048553003232,None,109.49048553003232,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,1,k,k,,,,,0,3,3,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,1.0152080999687314,109.49363799998537,110.50730439997278,110.49048539996147,None,109.49363799998537,None,109.49363799998537,None,109.49363799998537,None,111.50713173000841,None,111.50713173000841,None,111.50713173000841,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,1,j,l,,,,,0,4,4,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,j,j,1,0.797807399998419,111.5238049000036,112.5238859000383,112.50711140001658,None,111.5238049000036,None,111.5238049000036,None,111.5238049000036,None,113.30706182998838,None,113.30706182998838,None,113.30706182998838,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,positive,1,l,j,,,,,0,5,5,2,,,,,,,,,,,,,prac,1,1,1,positive,positive,l,l,1,0.9182761000702158,113.31230879994109,114.32374060002621,114.3070758000249,None,113.31230879994109,None,113.31230879994109,None,113.31230879994109,None,115.22347482995829,None,115.22347482995829,None,115.22347482995829,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,negative,2,k,k,,,,,0,6,6,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.8272181000793353,115.23143629997503,116.24038370000198,116.22369649994653,None,115.23143629997503,None,115.23143629997503,None,115.23143629997503,None,117.05698282996892,None,117.05698282996892,None,117.05698282996892,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,2,k,k,,,,,0,7,7,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.6497197999851778,117.06055779999588,118.07366759993602,118.05700070003513,None,117.06055779999588,None,117.06055779999588,None,117.06055779999588,None,118.70703762994381,None,118.70703762994381,None,118.70703762994381,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,2,j,l,,,,,0,8,8,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,j,j,1,0.7639932000311092,118.7109754999401,119.72636550001334,119.70692110003438,None,118.7109754999401,None,118.7109754999401,None,118.7109754999401,None,120.4736065300298,None,120.4736065300298,None,120.4736065300298,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,negative,2,l,j,,,,,0,9,9,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,l,l,1,0.8154605000745505,120.47670310002286,121.49026530003175,121.4736049999483,None,120.47670310002286,None,120.47670310002286,None,120.47670310002286,None,122.29020593004535,None,122.29020593004535,None,122.29020593004535,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,neutral,1,l,j,,,,,0,10,10,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,l,l,1,0.8487438999582082,122.29329099995084,123.30685850000009,123.29019430000335,None,122.29329099995084,None,122.29329099995084,None,122.29329099995084,None,124.14017253000057,None,124.14017253000057,None,124.14017253000057,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,neutral,2,l,j,,,,,0,11,11,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,l,l,1,0.664293700014241,124.14418189995922,125.15693389996886,125.14018280000892,None,124.14418189995922,None,124.14418189995922,None,124.14418189995922,None,125.8068033299991,None,125.8068033299991,None,125.8068033299991,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,positive,2,k,k,,,,,0,12,12,13,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.7653465999756008,125.80970879993401,126.8235480999574,126.80679099995177,None,125.80970879993401,None,125.80970879993401,None,125.80970879993401,None,127.57342212999939,None,127.57342212999939,None,127.57342212999939,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,neutral,1,j,l,,,,,0,13,13,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,j,j,1,0.715153899975121,127.5901136000175,128.59016319992952,128.5734562999569,None,127.5901136000175,None,127.5901136000175,None,127.5901136000175,None,129.2900650300202,None,129.2900650300202,None,129.2900650300202,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
