target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,54.04991560000053,34.47052896000241,None,88.55281210000248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,negative,2,l,j,,,,,0,0,0,14,,,,,,,,,,,93.68491540000105,None,prac,1,1,2,negative,positive,j,j,1,2.144017699996766,95.71020259999932,96.71705490000022,96.70264280000265,None,95.71020259999932,None,95.71020259999932,None,95.71020259999932,None,98.85008260000177,None,98.85008260000177,None,98.85008260000177,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,negative,1,k,k,,,,,0,1,1,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,1.369909799999732,99.85843179999938,100.86926170000515,100.85258880000038,None,99.85843179999938,None,99.85843179999938,None,99.85843179999938,None,102.21683896000468,None,102.21683896000468,None,102.21683896000468,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,neutral,2,l,j,,,,,0,2,2,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,1.0979890000016894,102.22862819999864,103.23298860000068,103.21138490000158,None,102.22862819999864,None,102.22862819999864,None,102.22862819999864,None,104.31649586000276,None,104.31649586000276,None,104.31649586000276,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,positive,1,j,l,,,,,0,3,3,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,1.0315138999940245,104.31849900000088,105.33323860000382,105.31654990000243,None,104.31849900000088,None,104.31849900000088,None,104.31849900000088,None,106.3500979599994,None,106.3500979599994,None,106.3500979599994,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,negative,2,j,l,,,,,0,4,4,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.9154721999948379,106.36439990000508,107.36897840000165,107.35015610000119,None,106.36439990000508,None,106.36439990000508,None,106.36439990000508,None,108.26672536000115,None,108.26672536000115,None,108.26672536000115,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,neutral,1,k,k,,,,,0,5,5,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.9653376999995089,108.27863680000155,109.28572220000206,109.25241050000477,None,108.27863680000155,None,108.27863680000155,None,108.27863680000155,None,110.23345556000277,None,110.23345556000277,None,110.23345556000277,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,positive,2,j,l,,,,,0,6,6,15,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,0.8985918999969726,110.24550360000285,111.25009810000483,111.23570879999897,None,110.24550360000285,None,110.24550360000285,None,110.24550360000285,None,112.13331386000209,None,112.13331386000209,None,112.13331386000209,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,positive,1,k,k,,,,,0,7,7,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.848382500000298,112.13684020000073,113.14966550000099,113.13301109999884,None,112.13684020000073,None,112.13684020000073,None,112.13684020000073,None,113.98289746000228,None,113.98289746000228,None,113.98289746000228,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,negative,2,k,k,,,,,0,8,8,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.9477499000058742,113.99561840000388,114.99968369999988,114.98301370000263,None,113.99561840000388,None,113.99561840000388,None,113.99561840000388,None,115.93292006000411,None,115.93292006000411,None,115.93292006000411,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
