target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,mouse_2.clicked_name,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,-0.094444446,0.05648148,0,0,0,1.0313958994229324,None,33.64710619999678,None,34.632268199988175,None,34.632268199988175,None,0.031481482,-0.04074074,0,0,0,0.012164999992819503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
,,,,,1,0,1,0,,,,,,,,,None,0.08240741,-0.05740741,0,0,0,None,None,None,None,36.03053839999484,None,36.03053839999484,None,0.08425926,-0.058333334,0,0,0,0.013617599994176999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
,,,,,2,0,2,0,,,,,,,,,None,0.08425926,-0.06666667,0,0,0,None,None,None,None,37.14691159999347,None,37.14691159999347,None,0.08425926,-0.06759259,1,0,0,0.013440899987472221,None,no_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
,,,,,3,0,3,0,,,,,,,,,None,0.41203704,-0.29444444,0,0,0,1.0088403999980073,None,38.730697500001405,None,90.13176709998515,None,90.13176709998515,None,-0.07962963,-0.09351852,0,0,0,0.01383959996746853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,negative,2,k,k,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,93.93209069999284,None,prac,2,2,2,negative,neutral,k,k,1,1.5340846999897622,95.96882680000272,96.98746380000375,96.94841280000401,None,95.96882680000272,None,95.96882680000272,None,95.96882680000272,None,98.49725059999037,None,98.49725059999037,None,98.49725059999037,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,positive,1,j,l,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,j,j,1,1.2788899000152014,99.50885189999826,100.52082649999647,100.50084299998707,None,99.50885189999826,None,99.50885189999826,None,99.50885189999826,None,101.77148119998165,None,101.77148119998165,None,101.77148119998165,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,negative,1,l,j,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,l,l,1,0.9983693999820389,101.79944040000555,102.80103020000388,102.78180179998162,None,101.79944040000555,None,101.79944040000555,None,101.79944040000555,None,103.77266459999956,None,103.77266459999956,None,103.77266459999956,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,neutral,1,l,j,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,0.9183186000154819,103.79113239998696,104.81215630000224,104.77020820000325,None,103.79113239998696,None,103.79113239998696,None,103.79113239998696,None,105.69457999998704,None,105.69457999998704,None,105.69457999998704,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,positive,2,l,j,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,0.78565659999731,105.71878219998325,106.73575799999526,106.71521850000136,None,105.71878219998325,None,105.71878219998325,None,105.71878219998325,None,107.48258230000502,None,107.48258230000502,None,107.48258230000502,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,positive,2,j,l,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,j,j,1,0.9005250000045635,107.50689269998111,108.52264300000388,108.48829949999345,None,107.50689269998111,None,107.50689269998111,None,107.50689269998111,None,109.38509869998089,None,109.38509869998089,None,109.38509869998089,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,negative,1,k,k,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.8092705000017304,109.403141399991,110.41205290000653,110.37094849999994,None,109.403141399991,None,109.403141399991,None,109.403141399991,None,111.19640479999944,None,111.19640479999944,None,111.19640479999944,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,negative,2,j,l,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,j,j,1,0.8941259999992326,111.2189804999798,112.22881609998876,112.20386049998342,None,111.2189804999798,None,111.2189804999798,None,111.2189804999798,None,113.09155429999228,None,113.09155429999228,None,113.09155429999228,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,positive,1,l,j,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,l,l,1,0.8011423000134528,113.10814149997896,114.115121299983,114.09552339999937,None,113.10814149997896,None,113.10814149997896,None,113.10814149997896,None,114.89724629998673,None,114.89724629998673,None,114.89724629998673,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,positive,1,k,k,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.711830899992492,114.91935119999107,115.92083200000343,115.90363289997913,None,114.91935119999107,None,114.91935119999107,None,114.91935119999107,None,116.61148939998239,None,116.61148939998239,None,116.61148939998239,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,neutral,1,k,k,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.7396444999903906,116.63010799998301,117.63456289999885,117.61533639999107,None,116.63010799998301,None,116.63010799998301,None,116.63010799998301,None,118.35395419999841,None,118.35395419999841,None,118.35395419999841,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,neutral,2,j,l,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,j,j,1,0.8539910999825224,118.3712556999817,119.37135079997825,119.35403069999302,None,118.3712556999817,None,118.3712556999817,None,118.3712556999817,None,120.2121928999899,None,120.2121928999899,None,120.2121928999899,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
