target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,-0.04537037,-0.17870371,0,0,0,1.0989640805928502,None,37.8845994100091,None,87.97166010001092,None,87.97166010001092,None,-0.06944445,-0.12222222,0,0,0,0.015388820029329509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,91.17865549999988,None,prac,2,2,2,positive,neutral,k,k,1,3.2541230999922846,93.29700419999426,94.34827069999301,94.2996826999879,None,93.29700419999426,None,93.29700419999426,None,93.29700419999426,None,97.52153269998962,None,97.52153269998962,None,97.52153269998962,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,j,0,1.4652038000058383,98.61460719999741,99.66394120000768,99.61512339999899,None,98.61460719999741,None,98.61460719999741,None,98.61460719999741,None,101.02035959999193,None,101.02035959999193,None,101.02035959999193,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,j,1,1.3006583000242244,102.10145739998552,103.14380290001282,103.07275880000088,None,102.10145739998552,None,102.10145739998552,None,102.10145739998552,None,104.3301678299962,None,104.3301678299962,None,104.3301678299962,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,j,j,1,1.1499265000165906,104.41352120001102,105.46676829998614,105.41886090001208,None,104.41352120001102,None,104.41352120001102,None,104.41352120001102,None,106.49888753000995,None,106.49888753000995,None,106.49888753000995,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,1.1857709999894723,106.55207040000823,107.60674849999486,107.55970270000398,None,106.55207040000823,None,106.55207040000823,None,106.55207040000823,None,108.68255443001398,None,108.68255443001398,None,108.68255443001398,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,j,j,1,1.2406741000013426,108.75944019999588,109.8107478999882,109.76201209999272,None,108.75944019999588,None,108.75944019999588,None,108.75944019999588,None,110.9408812300011,None,110.9408812300011,None,110.9408812300011,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,l,l,1,1.1797986000019591,111.02335579998908,112.08787119999761,112.03996269998606,None,111.02335579998908,None,111.02335579998908,None,111.02335579998908,None,113.12229592999792,None,113.12229592999792,None,113.12229592999792,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,1.0400462000106927,113.20550340000773,114.25327580000157,114.20505859999685,None,113.20550340000773,None,113.20550340000773,None,113.20550340000773,None,115.1748584200046,None,115.1748584200046,None,115.1748584200046,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,j,j,1,0.9747628000041004,115.23141979999491,116.3090389999852,116.25415739999153,None,115.23141979999491,None,115.23141979999491,None,115.23141979999491,None,117.16168813000549,None,117.16168813000549,None,117.16168813000549,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,l,l,1,0.916103600000497,117.235628800001,118.29666520000319,118.24389270000393,None,117.235628800001,None,117.235628800001,None,117.235628800001,None,119.08950031999265,None,119.08950031999265,None,119.08950031999265,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,j,j,1,0.9009939999959897,119.17017279998981,120.21419319999404,120.16306230000919,None,119.17017279998981,None,119.17017279998981,None,119.17017279998981,None,120.99805451998836,None,120.99805451998836,None,120.99805451998836,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.8859088000026532,121.0292635000078,122.10102780000307,122.0455185000028,None,121.0292635000078,None,121.0292635000078,None,121.0292635000078,None,122.88725162999471,None,122.88725162999471,None,122.88725162999471,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,l,l,1,0.8148531999904662,122.95235780000803,123.99348899998586,123.94451159998425,None,122.95235780000803,None,122.95235780000803,None,122.95235780000803,None,124.71251522001111,None,124.71251522001111,None,124.71251522001111,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.7946163000015076,124.75480990001233,125.83237680001184,125.78192040001159,None,124.75480990001233,None,124.75480990001233,None,124.75480990001233,None,126.51022642999887,None,126.51022642999887,None,126.51022642999887,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,0,14,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,j,j,1,0.8487223999982234,126.58667620000779,127.65381809999235,127.60580789999221,None,126.58667620000779,None,126.58667620000779,None,126.58667620000779,None,128.37399951999544,None,128.37399951999544,None,128.37399951999544,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,,0,1.0338050000136718,128.41637660001288,129.45033429999603,129.45033429999603,None,128.41637660001288,None,128.41637660001288,None,128.41637660001288,None,130.4260071000026,None,130.4260071000026,None,130.4260071000026,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,l,l,1,0.9243444000021555,131.50716559999273,132.5494847999944,132.48273449999397,None,131.50716559999273,None,131.50716559999273,None,131.50716559999273,None,133.37459622999305,None,133.37459622999305,None,133.37459622999305,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.9244051999994554,133.4358050999872,134.46832819998963,134.40887429998838,None,133.4358050999872,None,133.4358050999872,None,133.4358050999872,None,135.30915352999583,None,135.30915352999583,None,135.30915352999583,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,1,0,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.9824627000198234,135.37710569999763,136.438307000004,136.3890201000031,None,135.37710569999763,None,135.37710569999763,None,135.37710569999763,None,137.28836882000326,None,137.28836882000326,None,137.28836882000326,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,1,1,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,l,l,1,0.7300146000052337,137.35881519998657,138.39825239998754,138.35024930001236,None,137.35881519998657,None,137.35881519998657,None,137.35881519998657,None,139.036413130007,None,139.036413130007,None,139.036413130007,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,1,2,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,j,j,1,0.761676099995384,139.11654260000796,140.18836759999976,140.09002629999304,None,139.11654260000796,None,139.11654260000796,None,139.11654260000796,None,140.809066320007,None,140.809066320007,None,140.809066320007,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,1,3,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,negative,j,j,1,0.7582555999979377,140.87251549999928,141.9147621000011,141.86573560000397,None,140.87251549999928,None,140.87251549999928,None,140.87251549999928,None,142.56857091999848,None,142.56857091999848,None,142.56857091999848,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,1,4,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,1.0151328000065405,142.61291600001277,143.64922960000695,143.64922960000695,None,142.61291600001277,None,142.61291600001277,None,142.61291600001277,None,144.59411761999365,None,144.59411761999365,None,144.59411761999365,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,1,5,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,j,j,1,0.7319763999839779,144.63988460000837,145.67395550000947,145.62530949999928,None,144.63988460000837,None,144.63988460000837,None,144.63988460000837,None,146.334588619991,None,146.334588619991,None,146.334588619991,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
