distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,32.059425199986435,None,40.46917638998129,None,space,63.79851669998607,104.28458799998043,None,107.2371267999988,None,107.2371267999988,None,109.24007699999493,None,109.24007699999493,None,prac,None,None,1,1.4988160000066273,111.26433470001211,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4964082000078633,113.77254299999913,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.132735599996522,116.26755340001546,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8822738000308163,118.40082570002414,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8326129999477416,120.2844193999772,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8663958000252023,122.11770280002384,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988066000514664,123.98425019998103,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4974588000332005,126.4842860000208,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8660269999527372,128.98393809999106,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5016177000361495,130.8506263999734,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8468347999732941,133.35310830001254,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
