distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,37.25955660000909,None,46.697204049967695,None,space,59.63646459998563,106.3615509000374,None,109.1591004000511,None,109.1591004000511,None,111.16163470002357,None,111.16163470002357,None,prac,None,None,1,1.4964247000170872,113.17480399995111,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4972951000090688,115.67830140003935,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0172110999701545,118.17550110002048,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9826612999895588,120.19529019994661,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7792849000543356,122.17952659993898,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0994921999517828,123.95861119998153,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5011540999403223,126.06134380004369,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989471000153571,128.56128739996348,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8966399999335408,131.061273099971,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.50122510001529,132.95842529996298,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
