distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,29.862553799990565,None,35.871034250003866,None,space,61.75773119999212,97.65084630000638,None,101.55348850000883,None,101.55348850000883,None,103.55345760000637,None,103.55345760000637,None,prac,k,k,1,7.5239684999978635,105.58504430000903,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4868065000046045,115.11750459999894,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4967543999955524,117.60412740000174,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5003766000154428,120.10079659998883,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989129999885336,122.60425800000667,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4971459000080358,125.11940799999866,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,14.465432199998759,127.6006786999933,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5031232000037562,144.0831588000001,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989938999933656,146.5855947000091,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.846726400020998,149.08562480000546,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499473100004252,150.93539180001244,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8509951999876648,153.43276590001187,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5001422000059392,155.2854982999852,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4948961000191048,157.78529969998635,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
