distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,33.58012830000371,None,-0.28796297,0.14074074,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,41.65153614999872,None,None,0.34537038,-0.4138889,0,0,0,1.0101934499980416,None,97.85283220000565,None,97.85283220000565,None,-0.09351852,-0.1,0,0,0,0.013823250017594546,None,99.25355179999315,None,99.25355179999315,None,101.26854979999189,None,101.26854979999189,None,prac,k,k,1,1.5988642000011168,103.28305820000242,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5031818999996176,106.88627590000397,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989308999938658,109.39046840000083,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4952537000062875,111.8998081000027,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989329999953043,114.39357359999849,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988318999967305,116.88644899999781,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9844832000089809,119.38680290000048,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4965385999967111,121.37907959999575,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498616700002458,123.87867619999452,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0375088999862783,126.37060480000218,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4935978000139585,128.40820979999262,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0035759000020334,130.90543400000024,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4934214999957476,132.90829759999178,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987082000006922,135.41080359999614,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8365311000088695,137.90416960000584,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0497730000060983,139.74213040000177,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4932992000103695,141.79236029999447,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9345367999922018,144.2876569999935,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.817809699990903,146.22398120000435,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4939370000065537,148.04183560000092,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8202249000023585,150.53780320000078,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4936533000000054,152.359020399992,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498963999998523,154.8541722999944,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987349000002723,157.3547036999953,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983847000112291,159.85442419999163,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988808000052813,162.35449549999612,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.030666000006022,164.8542895999999,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4997851000080118,166.88744079999742,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499066300006234,169.38775290000194,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9195858000020962,171.88797690000501,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4946010999992723,173.80957620000117,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8037438000028487,176.30480840000382,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4934573999926215,178.10941459999594,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986171999917133,180.60422819999803,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
