distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,38.19602539995685,None,-0.11481482,0.094444446,1,0,0,image_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,,43.38904749006033,None,None,0.107407406,-0.36944443,0,0,0,1.006442730082199,None,100.29023190005682,None,100.29023190005682,None,-0.14814815,-0.10462963,0,0,0,0.0127050899900496,None,105.26068449998274,None,105.26068449998274,None,107.27163550001569,None,107.27163550001569,None,prac,k,k,1,3.210644300095737,109.29007120011374,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5022240998223424,114.51270910003223,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4977918998338282,117.01639280002564,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4982006000354886,119.5151953001041,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983300999738276,122.00795460003428,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986147000454366,124.50802329997532,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1662634999956936,127.01584449992515,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4973643000703305,129.176267700037,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987674998119473,131.68147310009226,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.3826043999288231,134.1821779999882,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4977334002032876,136.55924399988726,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.4507772999349982,139.05847269995138,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4960982999764383,141.51123689999804,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498503299895674,144.00957249989733,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6505083001684397,146.50855990010314,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.9148087999783456,148.1612005000934,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.502234200015664,152.09136729990132,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9188377999234945,154.5931235998869,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,2.51406960003078,156.52515590004623,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021262001246214,161.04148819996044,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8673312999308109,163.54262829991058,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963449998758733,165.4123857000377,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4980750000104308,167.909611399984,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986270999070257,170.40910429996438,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985589999705553,172.90929330000654,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4994477999862283,175.40962309995666,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0990901999175549,177.91161710000597,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4964962000958622,180.01161210006103,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
