distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,33.45839490000003,None,-0.2935185,0.15648147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,None,None,None,-0.023148147,-0.1037037,0,0,0,None,None,132.2121913000001,None,132.2121913000001,None,-0.042592593,-0.1,0,0,0,0.011090840000406388,None,no_area2,132.8992121000001,None,132.8992121000001,None,134.91075350000006,None,134.91075350000006,None,prac,None,None,1,1.5171225999999933,136.95273220000013,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5087435999998888,139.4611311000001,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,117.04276030000005,141.96950949999996,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,16.08607919999986,261.0561983,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.707553599999983,279.14652419999993,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,17.70803819999992,282.86037950000014,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5025602999999137,302.5859683000001,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5118033999999625,305.08973160000005,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.619421500000044,307.60451869999997,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5009033000001182,309.21516339999994,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6146817999999712,311.7158343000001,None,None,0,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.500880000000052,313.3325141,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987432000000354,315.83520240000007,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4981041000000914,318.33634699999993,None,None,1,,,,,,,,,,,,,,215,20,Female,2022-05-11_16h22.19.967,Main,2022.1.1,60.0016440450686,
