repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,42.28401609999128,None,space,2.4925070999888703,42.28401609999128,None,,,,,,,,,,,,,,,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,0,0,0,0,,,,,,,254.58526639998308,None,space,0.7155907000123989,255.45664950000355,None,30,자유 ,300.5630707999808,None,오쏘몰 이뮨 비타민 ,8.979956330003915,0.6008230315314398,0.5946502023273044,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,팀플 ,8.495496229967102,0.008230474260118248,0.981481499142117,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,부산 호텔 숙박비 ,25.862812729988946,0.004115237130059235,0.9259258641137017,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,엔믹스 릴리 ,9.831205530004809,0.9259259700775146,0.5864197280671861,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,버스 ,21.324755830020877,-0.004115104675292969,0.7098765108320448,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,데못죽 선아현 ,6.561984730011318,0.9012345472971597,0.6316872702704536,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,없음 ,14.346709729958093,0.004115237130059235,0.49176953898535836,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,그네타고싶다 ,8.229257530008908,0.9670782089233398,1,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,EEG 뜻이 뭘까 ,20.445144829980563,0.008230474260118248,0.2592592371834649,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,츠케멘 ,5.511636930052191,0.7983538839552138,0.42592594358656144,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,진용진 ,8.325457730039489,0.32510293854607486,0.5061728689405653,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,오늘 7시 돈들어옴 ,9.265610329952324,1,0.9876542886098225,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,여행경비 계산중 ,19.72853002996999,-0.07407400343153214,0.9341563383738201,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,페이커 앞면 뱃지 ,7.781179030047497,0.1728395620981853,0.5864197280671861,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,엔믹스 O.O,12.980008629965596,0.6831275092230902,0.5534979634814792,021,2022-05-18_10h29.07.210,220304_word_end_click,2022.1.1,61.18329720462394,
