trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
,,,,5,점심메뉴 ,,,,,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
,,,,,,,,,,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
,,,,,,,,,,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
0,0,0,0,30,,불편함 ,7.273930480034323,-1,0.5144032769733005,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
1,0,1,0,30,,의아함 ,5.941544979985338,-0.3415637546115451,0.7757201724582248,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
2,0,2,0,30,,영화  ,12.657558779988904,0.8765432569715712,0.4074073765012953,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
3,0,3,0,30,,만들어진 자유 ,4.805991780012846,-0.41563775804307723,0.8662551244099934,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
4,0,4,0,30,,실험 보수비 ,7.527184579987079,1.0,1,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
5,0,5,0,30,,"막연함 
",5.220859479974024,-0.020576053195529465,0.9753085772196453,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
6,0,6,0,30,,사고의 통제 ,4.46432917995844,-0.9958847363789877,0.9917695257398818,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
7,0,7,0,30,,없음 ,9.77415798002039,0.004115237130059235,0.5102880398432413,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
8,0,8,0,30,,15000원 ,5.697668879962293,0.9835391574435763,0.8353909121619331,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
9,0,9,0,30,,프로그램 배경이 신경쓰임 ,18.50187917999574,0.22633751233418775,0.20576128694746232,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
10,0,10,0,30,,낡은 벽 ,7.054996580031002,0.008230474260118248,0.0020576119422912598,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
11,0,11,0,30,,사고의 방해 요인,8.8153176799824,-0.008230474260118248,0.88271607293023,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
12,0,12,0,30,,전주 여행,6.323139379994245,0.5843620830112033,0.9958847628699409,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
13,0,13,0,30,,뮤지컬 넘버 영상 시청,9.734134280035505,0.868312782711453,0.3333333068423801,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
14,0,14,0,30,,억압,10.470101679995423,-1,1,113,001,2022-05-04_11h50.49.891,220304_word_end_click,2022.1.1,60.06774440050656,
