target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,7.410704099980649,44.701632420008536,None,52.134562299994286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,2,k,k,,,,,0,0,0,16,,,,,,,,,,,56.284645200008526,None,prac,2,2,2,negative,neutral,k,k,1,1.037280099990312,58.29842619999545,59.30121619999409,59.2824791999883,None,58.29842619999545,None,58.29842619999545,None,58.29842619999545,None,60.332475220027845,None,60.332475220027845,None,60.332475220027845,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,1,j,l,,,,,0,1,1,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,l,l,1,0.901177000021562,60.33682090003276,61.35126189998118,61.334600000001956,None,60.33682090003276,None,60.33682090003276,None,60.33682090003276,None,62.23455892002676,None,62.23455892002676,None,62.23455892002676,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,neutral,2,l,j,,,,,0,2,2,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.6783121000044048,62.239239200018346,63.24896100000478,63.2345943999826,None,62.239239200018346,None,62.239239200018346,None,62.239239200018346,None,63.915292920020875,None,63.915292920020875,None,63.915292920020875,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,2,l,j,,,,,0,3,3,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.5152913000201806,63.91528399998788,64.9153013000032,64.9153013000032,None,63.91528399998788,None,63.91528399998788,None,63.91528399998788,None,65.43203731998801,None,65.43203731998801,None,65.43203731998801,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,positive,1,l,j,,,,,0,4,4,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,0.6650985999731347,65.4362501000287,66.45115059998352,66.4345874999999,None,65.4362501000287,None,65.4362501000287,None,65.4362501000287,None,67.09888802003115,None,67.09888802003115,None,67.09888802003115,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,neutral,1,l,j,,,,,0,5,5,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,0.6674356000148691,67.10485579998931,68.11774710001191,68.10114480002085,None,67.10485579998931,None,67.10485579998931,None,67.10485579998931,None,68.76772892003646,None,68.76772892003646,None,68.76772892003646,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,neutral,1,k,k,,,,,0,6,6,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,l,0,0.48231290001422167,68.77040009998018,69.78435929998523,69.76774219999788,None,68.77040009998018,None,68.77040009998018,None,68.77040009998018,None,70.24988429999212,None,70.24988429999212,None,70.24988429999212,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,1,l,j,,,,,0,7,7,5,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,0.6684479999821633,71.2498237999971,72.25099319999572,72.23439669999061,None,71.2498237999971,None,71.2498237999971,None,71.2498237999971,None,72.91555521998089,None,72.91555521998089,None,72.91555521998089,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,1,k,k,,,,,0,8,8,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.5644029999966733,72.92630649998318,73.93178099999204,73.91512980003608,None,72.92630649998318,None,72.92630649998318,None,72.92630649998318,None,74.48178842000198,None,74.48178842000198,None,74.48178842000198,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,2,j,l,,,,,0,9,9,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.6495119999744929,74.48245589999715,75.4818157000118,75.4818157000118,None,74.48245589999715,None,74.48245589999715,None,74.48245589999715,None,76.1321161200176,None,76.1321161200176,None,76.1321161200176,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,positive,1,k,k,,,,,0,10,10,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.5483455999637954,76.13603069999954,77.15085680002812,77.13434330001473,None,76.13603069999954,None,76.13603069999954,None,76.13603069999954,None,77.68211272003828,None,77.68211272003828,None,77.68211272003828,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,positive,2,k,k,,,,,0,11,11,13,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.5186084000160918,77.6885392999975,78.70095510000829,78.68435990001308,None,77.6885392999975,None,77.6885392999975,None,77.6885392999975,None,79.20084361999761,None,79.20084361999761,None,79.20084361999761,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,2,j,l,,,,,0,12,12,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.6841493000392802,79.20511290000286,80.21742499998072,80.20089770003688,None,79.20511290000286,None,79.20511290000286,None,79.20511290000286,None,80.88417741999729,None,80.88417741999729,None,80.88417741999729,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,positive,2,l,j,,,,,0,13,13,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,j,j,1,0.5934120999881998,80.89144199999282,81.90077840001322,81.88420929998392,None,80.89144199999282,None,80.89144199999282,None,80.89144199999282,None,82.48201621999033,None,82.48201621999033,None,82.48201621999033,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,neutral,2,k,k,,,,,0,14,14,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.5480289999977686,82.48583840002539,83.49822150002001,83.48155470000347,None,82.48583840002539,None,82.48583840002539,None,82.48583840002539,None,84.03153312002541,None,84.03153312002541,None,84.03153312002541,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,1,j,l,,,,,0,15,15,6,,,,,,,,,,,,,prac,1,1,1,positive,negative,l,l,1,0.6490534000331536,84.03153670002939,85.03157190000638,85.03157190000638,None,84.03153670002939,None,84.03153670002939,None,84.03153670002939,None,85.68161001999397,None,85.68161001999397,None,85.68161001999397,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
