target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,53.638715999986744,29.178934569991544,None,82.84442049998324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,negative,2,l,j,,,,,0,0,0,14,,,,,,,,,,,86.1612516999885,None,prac,1,1,2,negative,positive,l,l,1,0.9872699000115972,88.1746293999895,89.17533050000202,89.15864929999225,None,88.1746293999895,None,88.1746293999895,None,88.1746293999895,None,90.15859706999326,None,90.15859706999326,None,90.15859706999326,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,positive,2,l,j,,,,,0,1,1,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,0.6813581000023987,90.1598097999813,91.1753100999922,91.15866379998624,None,90.1598097999813,None,90.1598097999813,None,90.1598097999813,None,91.84195926997636,None,91.84195926997636,None,91.84195926997636,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,negative,2,k,k,,,,,0,2,2,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.5818064000050072,91.84899079997558,92.86112069999217,92.84447009998257,None,91.84899079997558,None,91.84899079997558,None,91.84899079997558,None,93.42525746999017,None,93.42525746999017,None,93.42525746999017,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,negative,2,j,l,,,,,0,3,3,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,j,j,1,0.8823440999840386,93.43143810000038,94.44444619998103,94.42782349998015,None,93.43143810000038,None,93.43143810000038,None,93.43143810000038,None,95.3088812699978,None,95.3088812699978,None,95.3088812699978,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,negative,1,l,j,,,,,0,4,4,5,,,,,,,,,,,,,prac,1,1,1,negative,positive,l,l,1,0.6175033999898005,95.31267109999317,96.32755829999223,96.3110130999994,None,95.31267109999317,None,95.31267109999317,None,95.31267109999317,None,96.92763736998022,None,96.92763736998022,None,96.92763736998022,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,neutral,1,k,k,,,,,0,5,5,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.5476009000267368,96.93055979997735,97.94423860000097,97.9277578999754,None,96.93055979997735,None,96.93055979997735,None,96.93055979997735,None,98.47558746998838,None,98.47558746998838,None,98.47558746998838,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,neutral,2,l,j,,,,,0,6,6,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,l,l,1,0.6138025000109337,98.48022109997692,99.49179999998887,99.47513079998316,None,98.48022109997692,None,98.48022109997692,None,98.48022109997692,None,100.09172076999384,None,100.09172076999384,None,100.09172076999384,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,neutral,1,l,j,,,,,0,7,7,8,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,0.7844667000172194,100.09172719999333,101.09179859998403,101.09179859998403,None,100.09172719999333,None,100.09172719999333,None,100.09172719999333,None,101.87750456999929,None,101.87750456999929,None,101.87750456999929,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,neutral,2,k,k,,,,,0,8,8,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.6322279000014532,101.88110420000157,102.89206159999594,102.87756490000174,None,101.88110420000157,None,101.88110420000157,None,101.88110420000157,None,103.5108484700002,None,103.5108484700002,None,103.5108484700002,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
