target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,24.17472050001379,29.7527539199451,None,53.94839929998852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,positive,1,l,j,,,,,0,0,0,2,,,,,,,,,,,61.196210699970834,None,prac,1,1,1,positive,positive,j,j,1,0.724730100017041,63.20945910003502,64.21509820001666,64.19850279996172,None,63.20945910003502,None,63.20945910003502,None,63.20945910003502,None,64.93183121995534,None,64.93183121995534,None,64.93183121995534,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,2,l,j,,,,,0,1,1,14,,,,,,,,,,,,,prac,1,1,2,negative,positive,j,j,1,0.7635983000509441,64.93579929997213,65.94839799997862,65.93179629999213,None,64.93579929997213,None,64.93579929997213,None,64.93579929997213,None,66.69736351994797,None,66.69736351994797,None,66.69736351994797,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,neutral,1,k,k,,,,,0,2,2,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.7684574000304565,66.70240219996776,67.71501060004812,67.69843580003362,None,66.70240219996776,None,66.70240219996776,None,66.70240219996776,None,68.46528641998302,None,68.46528641998302,None,68.46528641998302,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,negative,1,j,l,,,,,0,3,3,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,0.643676400068216,68.47147740004584,69.48158200003672,69.46510589995887,None,68.47147740004584,None,68.47147740004584,None,68.47147740004584,None,70.11251922000665,None,70.11251922000665,None,70.11251922000665,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,positive,2,l,j,,,,,0,4,4,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,j,j,1,0.6483030000235885,70.11641909996979,71.12940149998758,71.11242200003471,None,70.11641909996979,None,70.11641909996979,None,70.11641909996979,None,71.76236422001384,None,71.76236422001384,None,71.76236422001384,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,neutral,2,l,j,,,,,0,5,5,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,j,j,1,0.5822287000482902,71.76238379999995,72.76246060000267,72.76246060000267,None,71.76238379999995,None,71.76238379999995,None,71.76238379999995,None,73.34577862001024,None,73.34577862001024,None,73.34577862001024,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,1,l,j,,,,,0,6,6,5,,,,,,,,,,,,,prac,1,1,1,negative,positive,j,j,1,0.6831218999577686,73.34674259996973,74.34595560003072,74.34595560003072,None,73.34674259996973,None,73.34674259996973,None,73.34674259996973,None,75.02910251999273,None,75.02910251999273,None,75.02910251999273,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,neutral,1,j,l,,,,,0,7,7,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,l,l,1,0.732121599954553,75.03358839999419,76.04822720005177,76.03160069999285,None,75.03358839999419,None,75.03358839999419,None,75.03358839999419,None,76.76249801998492,None,76.76249801998492,None,76.76249801998492,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,positive,2,k,k,,,,,0,8,8,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.5830338000087067,76.77416549995542,77.78148530004546,77.76491090003401,None,76.77416549995542,None,76.77416549995542,None,76.77416549995542,None,78.34817641999106,None,78.34817641999106,None,78.34817641999106,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
