target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,21.955569199984893,24.787405909982045,None,46.770194499986246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
neutral,positive,2,k,k,,,,,0,0,0,13,,,,,,,,,,,51.936891000019386,None,prac,2,2,2,positive,neutral,k,k,1,0.9282564000459388,53.94250010000542,54.95348400005605,54.93695010000374,None,53.94250010000542,None,53.94250010000542,None,53.94250010000542,None,55.86801071000518,None,55.86801071000518,None,55.86801071000518,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
neutral,neutral,2,k,k,,,,,0,1,1,10,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.7580695999786258,55.87200189998839,56.88692009996157,56.870192200061865,None,55.87200189998839,None,55.87200189998839,None,55.87200189998839,None,57.628307510062584,None,57.628307510062584,None,57.628307510062584,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
neutral,negative,1,k,k,,,,,0,2,2,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.9047325999708846,57.6294161999831,58.63424899999518,58.61758159997407,None,57.6294161999831,None,57.6294161999831,None,57.6294161999831,None,59.53423131002346,None,59.53423131002346,None,59.53423131002346,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
negative,positive,2,j,l,,,,,0,3,3,15,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,1.1824293999234214,59.53496149997227,60.53425240004435,60.53425240004435,None,59.53496149997227,None,59.53496149997227,None,59.53496149997227,None,61.718149909994096,None,61.718149909994096,None,61.718149909994096,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
negative,negative,1,j,l,,,,,0,4,4,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,0.7341810000361875,61.724485700018704,62.73676440003328,62.720173500012606,None,61.724485700018704,None,61.724485700018704,None,61.724485700018704,None,63.45355000999989,None,63.45355000999989,None,63.45355000999989,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
negative,negative,2,j,l,,,,,0,5,5,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.8124944000737742,63.4568803999573,64.46995329996571,64.45339210005477,None,63.4568803999573,None,63.4568803999573,None,63.4568803999573,None,65.26748540998669,None,65.26748540998669,None,65.26748540998669,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
positive,neutral,1,l,j,,,,,0,6,6,8,,,,,,,,,,,,,prac,2,2,1,neutral,positive,j,j,1,1.1176668000407517,65.27396420005243,66.28667429997586,66.27006210002583,None,65.27396420005243,None,65.27396420005243,None,65.27396420005243,None,67.38653890999267,None,67.38653890999267,None,67.38653890999267,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
neutral,negative,2,k,k,,,,,0,7,7,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.7122396000195295,67.3895870000124,68.40316440002061,68.38668690004852,None,67.3895870000124,None,67.3895870000124,None,67.3895870000124,None,69.10028181005036,None,69.10028181005036,None,69.10028181005036,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
positive,negative,2,l,j,,,,,0,8,8,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,1.0157881999621168,69.09992129995953,70.10068809997756,70.10068809997756,None,69.09992129995953,None,69.09992129995953,None,69.09992129995953,None,71.11737271003658,None,71.11737271003658,None,71.11737271003658,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
