target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,52.525671100011095,16.87342903998215,None,69.41938129998744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,neutral,1,k,k,,,,,0,0,0,1,,,,,,,,,,,73.88894509989768,None,prac,2,2,1,neutral,neutral,k,k,1,1.49407420004718,75.91099240002222,76.91956970002502,76.90282560000196,None,75.91099240002222,None,75.91099240002222,None,75.91099240002222,None,78.40278633988927,None,78.40278633988927,None,78.40278633988927,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,positive,2,k,k,,,,,0,1,1,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,1.2314875000156462,78.408796899952,79.41955049987882,79.40563479997218,None,78.408796899952,None,78.408796899952,None,78.408796899952,None,80.63608503995928,None,80.63608503995928,None,80.63608503995928,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,negative,1,j,l,,,,,0,2,2,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,1.4653431000187993,80.64185020001605,81.65273380000144,81.6389482000377,None,80.64185020001605,None,80.64185020001605,None,80.64185020001605,None,83.10260154006536,None,83.10260154006536,None,83.10260154006536,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,positive,2,l,j,,,,,0,3,3,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,j,j,1,0.9801682999823242,83.11020229989663,84.12208419991657,84.1027035000734,None,83.11020229989663,None,83.11020229989663,None,83.11020229989663,None,85.08599594004917,None,85.08599594004917,None,85.08599594004917,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,negative,2,j,l,,,,,0,4,4,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.9311691001057625,85.10281579988077,86.10264789988287,86.08599729998969,None,85.10281579988077,None,85.10281579988077,None,85.10281579988077,None,87.01939314000774,None,87.01939314000774,None,87.01939314000774,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,negative,1,k,k,,,,,0,5,5,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.8819597000256181,87.0225440999493,88.03595849988051,88.01927939988673,None,87.0225440999493,None,87.0225440999493,None,87.0225440999493,None,88.90257653992157,None,88.90257653992157,None,88.90257653992157,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,neutral,2,l,j,,,,,0,6,6,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,j,j,1,0.9150057998485863,88.90579549991526,89.91922839987092,89.90258520003408,None,88.90579549991526,None,88.90579549991526,None,88.90579549991526,None,90.8189928399166,None,90.8189928399166,None,90.8189928399166,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,positive,1,l,j,,,,,0,7,7,2,,,,,,,,,,,,,prac,1,1,1,positive,positive,j,j,1,0.9159506000578403,90.82550820009783,91.83585039991885,91.8220800999552,None,90.82550820009783,None,90.82550820009783,None,90.82550820009783,None,92.73582554005552,None,92.73582554005552,None,92.73582554005552,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,negative,2,l,j,,,,,0,8,8,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.7150029998738319,92.74011539993808,93.75249250000343,93.73582320008427,None,92.74011539993808,None,92.74011539993808,None,92.74011539993808,None,94.45247363999951,None,94.45247363999951,None,94.45247363999951,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,negative,1,l,j,,,,,0,9,9,5,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,0.732020900119096,94.45842180005275,95.46915069990791,95.45244499994442,None,94.45842180005275,None,94.45842180005275,None,94.45842180005275,None,96.18580343995708,None,96.18580343995708,None,96.18580343995708,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,negative,2,k,k,,,,,0,10,10,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.6486903999466449,96.19187119998969,97.20516910008155,97.18577019986697,None,96.19187119998969,None,96.19187119998969,None,96.19187119998969,None,97.83573513992596,None,97.83573513992596,None,97.83573513992596,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,neutral,2,k,k,,,,,0,11,11,10,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.5820698000025004,97.84086739993654,98.85239879996516,98.83855520002544,None,97.84086739993654,None,97.84086739993654,None,97.84086739993654,None,99.41906633998732,None,99.41906633998732,None,99.41906633998732,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,positive,1,j,l,,,,,0,12,12,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.9317450998350978,99.4260589000769,100.43570280005224,100.4191153999418,None,99.4260589000769,None,99.4260589000769,None,99.4260589000769,None,101.35233684002887,None,101.35233684002887,None,101.35233684002887,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,positive,2,j,l,,,,,0,13,13,15,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,0.698225500062108,101.35815880005248,102.36901560006663,102.35233330004849,None,101.35815880005248,None,101.35815880005248,None,101.35815880005248,None,103.05241594000253,None,103.05241594000253,None,103.05241594000253,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,neutral,2,j,l,,,,,0,14,14,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,0.6988212000578642,103.0553822000511,104.06897399993613,104.05228669987991,None,103.0553822000511,None,103.0553822000511,None,103.0553822000511,None,104.75226493997033,None,104.75226493997033,None,104.75226493997033,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,neutral,1,l,j,,,,,0,15,15,8,,,,,,,,,,,,,prac,2,2,1,neutral,positive,j,j,1,0.7984815998934209,104.75557549996302,105.76893029990606,105.75228910008445,None,104.75557549996302,None,104.75557549996302,None,104.75557549996302,None,106.55222544006537,None,106.55222544006537,None,106.55222544006537,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
