target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,53.44969589984976,19.031567330053075,None,72.51078750006855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
negative,negative,1,j,l,,,,,0,0,0,0,,,,,,,,,,,78.34698679996654,None,prac,2,2,1,negative,negative,l,l,1,2.594425299903378,80.35232340008952,81.36088300007395,81.34421330015175,None,80.35232340008952,None,80.35232340008952,None,80.35232340008952,None,83.94709299993701,None,83.94709299993701,None,83.94709299993701,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
positive,neutral,2,l,j,,,,,0,1,1,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,j,j,1,1.134873199975118,84.94532590010203,85.9608815999236,85.92746670008637,None,84.94532590010203,None,84.94532590010203,None,84.94532590010203,None,87.07747253011912,None,87.07747253011912,None,87.07747253011912,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
negative,positive,2,j,l,,,,,0,2,2,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.915203700074926,87.08391460007988,88.09410089999437,88.07741859997623,None,87.08391460007988,None,87.08391460007988,None,87.08391460007988,None,88.99425272997469,None,88.99425272997469,None,88.99425272997469,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
neutral,positive,1,k,k,,,,,0,3,3,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,1.0312068001367152,89.00030720001087,90.01072410005145,89.99404309992678,None,89.00030720001087,None,89.00030720001087,None,89.00030720001087,None,91.02755443011411,None,91.02755443011411,None,91.02755443011411,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
positive,positive,1,l,j,,,,,0,4,4,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,0.8984290999360383,91.03298280015588,92.04402170004323,92.02749589993618,None,91.03298280015588,None,91.03298280015588,None,91.03298280015588,None,92.9273347300943,None,92.9273347300943,None,92.9273347300943,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
negative,neutral,1,j,l,,,,,0,5,5,3,,,,,,,,,,,,,prac,1,1,1,neutral,negative,l,l,1,0.948802099796012,92.9333731001243,93.94674009992741,93.92732620006427,None,92.9333731001243,None,92.9333731001243,None,92.9333731001243,None,94.87731803003699,None,94.87731803003699,None,94.87731803003699,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
neutral,negative,1,k,k,,,,,0,6,6,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.9316100999712944,94.88252410013229,95.89394180011004,95.88012560014613,None,94.88252410013229,None,94.88252410013229,None,94.88252410013229,None,96.81039083008655,None,96.81039083008655,None,96.81039083008655,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
neutral,positive,2,k,k,,,,,0,7,7,13,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.782064100028947,96.81703660008498,97.82724649994634,97.79387590009719,None,96.81703660008498,None,96.81703660008498,None,96.81703660008498,None,98.59389663003385,None,98.59389663003385,None,98.59389663003385,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
positive,positive,2,l,j,,,,,0,8,8,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,j,j,1,0.8157005000393838,98.59931620000862,99.61052029998973,99.57730700005777,None,98.59931620000862,None,98.59931620000862,None,98.59931620000862,None,100.41062612999231,None,100.41062612999231,None,100.41062612999231,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
neutral,neutral,1,k,k,,,,,0,9,9,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,1.2160921997856349,100.41604049992748,101.42718790005893,101.41051380010322,None,100.41604049992748,None,100.41604049992748,None,100.41604049992748,None,102.62715473007411,None,102.62715473007411,None,102.62715473007411,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
positive,negative,2,l,j,,,,,0,10,10,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.8811464998871088,102.63316420000046,103.64380370010622,103.62710650009103,None,102.63316420000046,None,102.63316420000046,None,102.63316420000046,None,104.51055773003027,None,104.51055773003027,None,104.51055773003027,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
negative,neutral,2,j,l,,,,,0,11,11,12,,,,,,,,,,,,,prac,1,1,2,neutral,negative,l,l,1,0.9319267000537366,104.51344459992833,105.52984400000423,105.5104008000344,None,104.51344459992833,None,104.51344459992833,None,104.51344459992833,None,106.44378602998331,None,106.44378602998331,None,106.44378602998331,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
positive,neutral,1,l,j,,,,,0,12,12,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,0.8653556001372635,106.44907450000755,107.4604144000914,107.4437992000021,None,106.44907450000755,None,106.44907450000755,None,106.44907450000755,None,108.31056473013014,None,108.31056473013014,None,108.31056473013014,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
neutral,negative,2,k,k,,,,,0,13,13,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.9339921998325735,108.3165333000943,109.32975929998793,109.31038219993934,None,108.3165333000943,None,108.3165333000943,None,108.3165333000943,None,110.24659893014469,None,110.24659893014469,None,110.24659893014469,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
negative,positive,1,j,l,,,,,0,14,14,6,,,,,,,,,,,,,prac,1,1,1,positive,negative,l,l,1,0.9290692000649869,110.25113980006427,111.26032380014658,111.24366419995204,None,110.25113980006427,None,110.25113980006427,None,110.25113980006427,None,112.17707192995586,None,112.17707192995586,None,112.17707192995586,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
neutral,neutral,2,k,k,,,,,0,15,15,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.9152956001926214,112.18258309992962,113.19370940001681,113.17704059998505,None,112.18258309992962,None,112.18258309992962,None,112.18258309992962,None,114.09361793012359,None,114.09361793012359,None,114.09361793012359,None,,,,,,,,,,,,,203,2023-03-27_17h15.43.672,Main,2022.1.1,59.99350872276989,
