target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,54.81942389998585,59.186365870037115,None,114.03222889988683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,negative,2,l,j,,,,,0,0,0,14,,,,,,,,,,,118.23514999984764,None,prac,1,1,2,negative,positive,l,l,1,2.4851605999283493,120.24980270001106,121.24902680004016,121.23236249992624,None,120.24980270001106,None,120.24980270001106,None,120.24980270001106,None,123.73599199997261,None,123.73599199997261,None,123.73599199997261,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,negative,1,j,l,,,,,0,1,1,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,j,k,0,1.334024199983105,124.73389160004444,125.74895289982669,125.7156226998195,None,124.73389160004444,None,124.73389160004444,None,124.73389160004444,None,127.0655650999397,None,127.0655650999397,None,127.0655650999397,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,negative,1,l,j,,,,,0,2,2,5,,,,,,,,,,,,,prac,1,1,1,negative,positive,l,k,0,0.9678108999505639,128.06648659985512,129.0655306999106,129.05169769981876,None,128.06648659985512,None,128.06648659985512,None,128.06648659985512,None,130.0321753998287,None,130.0321753998287,None,130.0321753998287,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,positive,2,l,j,,,,,0,3,3,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,0.8841119999997318,131.03313099988736,132.03214689996094,132.01830399991013,None,131.03313099988736,None,131.03313099988736,None,131.03313099988736,None,132.91543786993716,None,132.91543786993716,None,132.91543786993716,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,negative,2,k,k,,,,,0,4,4,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,1.165537100052461,132.93498829985037,133.94877050002106,133.91561029991135,None,132.93498829985037,None,132.93498829985037,None,132.93498829985037,None,135.0820660700323,None,135.0820660700323,None,135.0820660700323,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,neutral,2,j,l,,,,,0,5,5,12,,,,,,,,,,,,,prac,1,1,2,neutral,negative,j,j,1,1.1144993000198156,135.10154860001057,136.11804630002007,136.08208870003,None,135.10154860001057,None,135.10154860001057,None,135.10154860001057,None,137.19867716983427,None,137.19867716983427,None,137.19867716983427,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,neutral,1,j,l,,,,,0,6,6,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,j,j,1,1.864878399996087,137.2044128999114,138.21536699985154,138.19868819997646,None,137.2044128999114,None,137.2044128999114,None,137.2044128999114,None,140.06529619987123,None,140.06529619987123,None,140.06529619987123,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,positive,1,j,l,,,,,0,7,7,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,j,j,1,1.5010591000318527,141.06645629997365,142.08195189991966,142.04861629987136,None,141.06645629997365,None,141.06645629997365,None,141.06645629997365,None,143.56543279998004,None,143.56543279998004,None,143.56543279998004,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,positive,1,k,k,,,,,0,8,8,4,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,0.7844329001381993,144.56626079999842,145.58470509992912,145.54856869997457,None,144.56626079999842,None,144.56626079999842,None,144.56626079999842,None,146.34855506985915,None,146.34855506985915,None,146.34855506985915,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,neutral,1,l,j,,,,,0,9,9,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,l,l,1,0.9486792001407593,146.35407210001722,147.36517439992167,147.34851949987933,None,146.35407210001722,None,146.35407210001722,None,146.35407210001722,None,148.29879196987022,None,148.29879196987022,None,148.29879196987022,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
