name,TrialNum,Word,WordCategory,FishType,WordList,WordValence,WordReputation,CorrectResp,IncorrectResp,FishTypeFile,Round,WordType,Condition,LoopforOrange.thisRepN,LoopforOrange.thisTrialN,LoopforOrange.thisN,LoopforOrange.thisIndex,LoopForGreen.thisRepN,LoopForGreen.thisTrialN,LoopForGreen.thisN,LoopForGreen.thisIndex,GreenInstLoop.thisRepN,GreenInstLoop.thisTrialN,GreenInstLoop.thisN,GreenInstLoop.thisIndex,GreenPrac.thisRepN,GreenPrac.thisTrialN,GreenPrac.thisN,GreenPrac.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,GreenRound1.thisRepN,GreenRound1.thisTrialN,GreenRound1.thisN,GreenRound1.thisIndex,GreenRound2.thisRepN,GreenRound2.thisTrialN,GreenRound2.thisN,GreenRound2.thisIndex,GreenRound3.thisRepN,GreenRound3.thisTrialN,GreenRound3.thisN,GreenRound3.thisIndex,GreenRound4.thisRepN,GreenRound4.thisTrialN,GreenRound4.thisN,GreenRound4.thisIndex,GreenRound5.thisRepN,GreenRound5.thisTrialN,GreenRound5.thisN,GreenRound5.thisIndex,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,PassI.started,PassI.stopped,PassInst.keys,PassInst.rt,PassInst.started,PassInst.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,slider_3.response,slider_3.rt,slider_3.started,slider_3.stopped,Response_3,Feedback_3,BackGround_3.started,BackGround_3.stopped,Fish_3.started,Fish_3.stopped,WordBox_3.started,WordBox_3.stopped,Words_3.started,Words_3.stopped,BackGround_Feedback_3.started,BackGround_Feedback_3.stopped,Feedbacks_3.started,Feedbacks_3.stopped,Continue_or_not_2.keys,Continue_or_not_2.rt,Continue_or_not_2.started,Continue_or_not_2.stopped,image_4.started,image_4.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,startmain.started,startmain.stopped,slider_4.response,slider_4.rt,slider_4.started,slider_4.stopped,Response_4,Feedback_4,BackGround_4.started,BackGround_4.stopped,Fish_4.started,Fish_4.stopped,WordBox_4.started,WordBox_4.stopped,Words_4.started,Words_4.stopped,BackGround_Feedback_4.started,BackGround_Feedback_4.stopped,Feedbacks_4.started,Feedbacks_4.stopped,text.started,text.stopped,break_interval.started,break_interval.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,stratnextround.started,stratnextround.stopped,endgame.started,endgame.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.842379600013373,None,16.842379600013373,None,space,0.6856193999701645,17.32445660000667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
물고기과제_instruction(참가자용)GreenVersion.mp4,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.08652850001818,None,n,1.691000599967083,89.08652850001818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,1,넌 교활해,5,Orange,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11666667,-0.21388888,1,0,0,0.5143847699800972,None,90.80063930002507,None,102.33389040001202,103.8391703000234,103.85583240000415,104.81937300000573,104.86942200001795,105.8228488000168,105.80600229999982,None,1.9953703780968983,4.926986300008139,107.0882482000161,None,ScrollUp,정답입니다,107.0882482000161,None,107.0882482000161,None,107.0882482000161,None,107.0882482000161,None,111.73351050002384,None,111.73351050002384,112.23591430002125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,2,넌 슬기로워,2,Green,A,6.166666666666667,4.1,ScrollDown,ScrollUp,Green.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1882716069618862,0.9148079000005964,112.8410432000237,None,ScrollDown,정답입니다,112.8410432000237,None,112.8410432000237,None,112.8410432000237,None,112.8410432000237,None,113.66925210002228,None,113.66925210002228,114.17278240001178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9796716000128072,114.77617810000083,None,ScrollUp,정답입니다,114.77617810000083,None,114.77617810000083,None,114.77617810000083,None,114.77617810000083,None,115.6690078000247,None,115.6690078000247,116.16905680001946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,4,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0509259402751923,1.232030000013765,116.77442250002059,None,ScrollDown,정답입니다,116.77442250002059,None,116.77442250002059,None,116.77442250002059,None,116.77442250002059,None,117.91936430000351,None,117.91936430000351,118.41894590001903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,1,넌 교활해,5,Orange,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,37.60291259997757,118.91897850000532,None,118.91897850000532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,1,넌 따뜻해,1,Orange,B,6.083333333333333,5.6,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.86807060000137,162.36835810000775,162.40165020001587,163.3516124000016,163.4016017000249,164.35468930000206,164.3382570000249,None,,,,,,,,,,,,,,,,,,,,,,,,,0.13425925,-0.1537037,1,0,0,0.3169278699788265,None,156.55154620000394,None,1.9845678806304932,1.5085171000100672,165.63037510000868,None,ScrollUp,정답입니다,165.63037510000868,None,165.63037510000868,None,165.63037510000868,None,165.63037510000868,None,166.84936079999898,None,166.84936079999898,167.3546271000232,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,2,넌 기품있어,2,Orange,B,5.791666666666668,4.5,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9444444676240284,0.8962120000214782,167.9631835000182,None,ScrollUp,정답입니다,167.9631835000182,None,167.9631835000182,None,167.9631835000182,None,167.9631835000182,None,168.76797280000756,None,168.76797280000756,169.2679199000122,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,1,NonTarget,NonTarget,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9691357910633087,0.813105600012932,169.87944550000248,None,ScrollUp,정답입니다,169.87944550000248,None,169.87944550000248,None,169.87944550000248,None,169.87944550000248,None,170.5990919000178,None,170.5990919000178,171.1012267000042,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,4,넌 수동적이야,4,Green,A,2.833333333333333,2.933333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.040123442808787,0.8297378999995999,171.71313350001583,None,ScrollDown,정답입니다,171.71313350001583,None,171.71313350001583,None,171.71313350001583,None,171.71313350001583,None,172.45122550000087,None,172.45122550000087,172.9511410999985,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,5,넌 사심이 없어,3,Orange,B,4.916666666666666,4.333333333333333,ScrollUp,ScrollDown,Orange.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6712962985038757,1.0650709999899846,173.5675480000209,None,ScrollUp,정답입니다,173.5675480000209,None,173.5675480000209,None,173.5675480000209,None,173.5675480000209,None,174.53449869999895,None,174.53449869999895,175.0511730000144,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,6,넌 헤퍼,5,Green,A,2.458333333333334,2.233333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7175925920406976,1.0631527999939863,175.65797890000977,None,ScrollUp,오답입니다,175.65797890000977,None,175.65797890000977,None,175.65797890000977,None,175.65797890000977,None,176.63248560001375,None,176.63248560001375,177.1349289000209,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,7,넌 말쑥해,3,Green,A,4.833333333333334,4.333333333333333,ScrollDown,ScrollUp,Green.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0910493781169255,1.1298853000043891,177.74144540002453,None,ScrollDown,정답입니다,177.74144540002453,None,177.74144540002453,None,177.74144540002453,None,177.74144540002453,None,178.7823351000261,None,178.7823351000261,179.28440200001933,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,8,넌 투덜거려,5,Orange,B,2.541666666666667,2.266666666666667,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8765432039896648,0.8795076000096742,179.89717890002066,None,ScrollUp,정답입니다,179.89717890002066,None,179.89717890002066,None,179.89717890002066,None,179.89717890002066,None,180.6844750000164,None,180.6844750000164,181.18435870000394,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,9,넌 적극적이야,1,Green,A,5.708333333333333,5.533333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0138889054457347,0.8628733000077773,181.79113580001285,None,ScrollDown,정답입니다,181.79113580001285,None,181.79113580001285,None,181.79113580001285,None,181.79113580001285,None,182.56762090002303,None,182.56762090002303,183.06566260001273,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,10,넌 재미없어,4,Orange,B,2.625,2.966666666666667,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9614197711149852,0.898163099976955,183.67724170000292,None,ScrollUp,정답입니다,183.67724170000292,None,183.67724170000292,None,183.67724170000292,None,183.67724170000292,None,184.4842863000231,None,184.4842863000231,184.98429310001666,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,11,넌 명석해,2,Green,A,5.875,4.033333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9506172736485798,1.0962006000045221,185.59133990001283,None,ScrollUp,오답입니다,185.59133990001283,None,185.59133990001283,None,185.59133990001283,None,185.59133990001283,None,186.59892310001305,None,186.59892310001305,187.1009674000088,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,12,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,1,NonTarget,NonTarget,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8795896999945398,187.71171010000398,None,ScrollDown,정답입니다,187.71171010000398,None,187.71171010000398,None,187.71171010000398,None,187.71171010000398,None,188.49881250000908,None,188.49881250000908,189.000846800016,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
,13,넌 소심해,4,Green,A,3,3.1,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9294221000163816,189.6069458000129,None,ScrollDown,정답입니다,189.6069458000129,None,189.6069458000129,None,189.6069458000129,None,189.6069458000129,None,191.45087120000971,None,191.45087120000971,191.95083640000666,,,,,,,,,,,,,,,,104,2023-04-18_15h39.02.504,FishGame,2022.1.1,59.87414454824591,
