name,TrialNum,Word,WordCategory,FishType,WordList,WordValence,WordReputation,CorrectResp,IncorrectResp,FishTypeFile,Round,WordType,Condition,LoopforOrange.thisRepN,LoopforOrange.thisTrialN,LoopforOrange.thisN,LoopforOrange.thisIndex,LoopForGreen.thisRepN,LoopForGreen.thisTrialN,LoopForGreen.thisN,LoopForGreen.thisIndex,GreenInstLoop.thisRepN,GreenInstLoop.thisTrialN,GreenInstLoop.thisN,GreenInstLoop.thisIndex,GreenPrac.thisRepN,GreenPrac.thisTrialN,GreenPrac.thisN,GreenPrac.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,GreenRound1.thisRepN,GreenRound1.thisTrialN,GreenRound1.thisN,GreenRound1.thisIndex,GreenRound2.thisRepN,GreenRound2.thisTrialN,GreenRound2.thisN,GreenRound2.thisIndex,GreenRound3.thisRepN,GreenRound3.thisTrialN,GreenRound3.thisN,GreenRound3.thisIndex,GreenRound4.thisRepN,GreenRound4.thisTrialN,GreenRound4.thisN,GreenRound4.thisIndex,GreenRound5.thisRepN,GreenRound5.thisTrialN,GreenRound5.thisN,GreenRound5.thisIndex,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,PassI.started,PassI.stopped,PassInst.keys,PassInst.rt,PassInst.started,PassInst.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,slider_3.response,slider_3.rt,slider_3.started,slider_3.stopped,Response_3,Feedback_3,BackGround_3.started,BackGround_3.stopped,Fish_3.started,Fish_3.stopped,WordBox_3.started,WordBox_3.stopped,Words_3.started,Words_3.stopped,BackGround_Feedback_3.started,BackGround_Feedback_3.stopped,Feedbacks_3.started,Feedbacks_3.stopped,Continue_or_not_2.keys,Continue_or_not_2.rt,Continue_or_not_2.started,Continue_or_not_2.stopped,image_4.started,image_4.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,startmain.started,startmain.stopped,slider_4.response,slider_4.rt,slider_4.started,slider_4.stopped,Response_4,Feedback_4,BackGround_4.started,BackGround_4.stopped,Fish_4.started,Fish_4.stopped,WordBox_4.started,WordBox_4.stopped,Words_4.started,Words_4.stopped,BackGround_Feedback_4.started,BackGround_Feedback_4.stopped,Feedbacks_4.started,Feedbacks_4.stopped,text.started,text.stopped,break_interval.started,break_interval.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,stratnextround.started,stratnextround.stopped,endgame.started,endgame.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7647580000339,None,166.7647580000339,None,space,0.2123171000275761,167.25390100001823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
물고기과제_instruction(참가자용)GreenVersion.mp4,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.31918640004005,None,n,1.8414662999566644,240.31918640004005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,1,넌 교활해,5,Orange,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028703704,-0.21944444,1,0,0,0.5143284799996763,None,242.18229700007942,None,244.79889970005024,246.29912530002184,246.33246200007852,247.28240720008034,247.33242109999992,248.2824156000279,248.2824156000279,None,1.614197532335917,1.131576900021173,249.5501420000801,None,ScrollUp,정답입니다,249.5501420000801,None,249.5501420000801,None,249.5501420000801,None,249.5501420000801,None,250.4004059000872,None,250.4004059000872,250.9021156000672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,2,넌 슬기로워,2,Green,A,6.166666666666667,4.1,ScrollDown,ScrollUp,Green.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0910493781169255,0.8980517000891268,251.5205324999988,None,ScrollDown,정답입니다,251.5205324999988,None,251.5205324999988,None,251.5205324999988,None,251.5205324999988,None,252.33212170004845,None,252.33212170004845,252.83209640008863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5555555584530034,0.8940962000051513,253.4400361001026,None,ScrollUp,정답입니다,253.4400361001026,None,253.4400361001026,None,253.4400361001026,None,253.4400361001026,None,254.23003700003028,None,254.23003700003028,254.73214700003155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,4,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2422839452823002,1.4471562000690028,255.3419803000288,None,ScrollDown,정답입니다,255.3419803000288,None,255.3419803000288,None,255.3419803000288,None,255.3419803000288,None,256.6964248000877,None,256.6964248000877,257.19640500005335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,1,넌 교활해,5,Orange,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.240271699964069,257.6965065000113,None,257.6965065000113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,1,넌 따뜻해,1,Orange,B,6.083333333333333,5.6,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.66517160006333,265.16534569999203,265.1987314000726,266.14874660002533,266.1987324000802,267.14872820000164,267.14872820000164,None,,,,,,,,,,,,,,,,,,,,,,,,,0.010185185,-0.11018518,1,0,0,0.31491777999326587,None,260.9655027000699,None,1.7500000099341075,1.280042800004594,268.4346212000819,None,ScrollUp,정답입니다,268.4346212000819,None,268.4346212000819,None,268.4346212000819,None,268.4346212000819,None,269.41525180009194,None,269.41525180009194,269.91517620009836,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,2,넌 기품있어,2,Orange,B,5.791666666666668,4.5,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799382706483205,0.6815163999563083,270.5282160000643,None,ScrollUp,정답입니다,270.5282160000643,None,270.5282160000643,None,270.5282160000643,None,270.5282160000643,None,271.11508650006726,None,271.11508650006726,271.6150349000236,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
,3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,1,NonTarget,NonTarget,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4938271606030564,0.9166209000395611,272.22664310003165,None,NoResponse,무응답입니다,272.22664310003165,None,272.22664310003165,None,272.22664310003165,None,272.22664310003165,None,273.0484147000825,None,273.0484147000825,273.5484199000057,,,,,,,,,,,,,,,,106,2023-04-26_10h13.03.573,FishGame,2022.1.1,59.14734370262377,
