name,TrialNum,Word,WordCategory,FishType,WordList,WordValence,WordReputation,CorrectResp,IncorrectResp,FishTypeFile,Round,WordType,Condition,LoopforOrange.thisRepN,LoopforOrange.thisTrialN,LoopforOrange.thisN,LoopforOrange.thisIndex,OrangeInstLoop.thisRepN,OrangeInstLoop.thisTrialN,OrangeInstLoop.thisN,OrangeInstLoop.thisIndex,OrangePrac.thisRepN,OrangePrac.thisTrialN,OrangePrac.thisN,OrangePrac.thisIndex,temp1.thisRepN,temp1.thisTrialN,temp1.thisN,temp1.thisIndex,OrangeRound1.thisRepN,OrangeRound1.thisTrialN,OrangeRound1.thisN,OrangeRound1.thisIndex,OrangeRound2.thisRepN,OrangeRound2.thisTrialN,OrangeRound2.thisN,OrangeRound2.thisIndex,OrangeRound3.thisRepN,OrangeRound3.thisTrialN,OrangeRound3.thisN,OrangeRound3.thisIndex,OrangeRound4.thisRepN,OrangeRound4.thisTrialN,OrangeRound4.thisN,OrangeRound4.thisIndex,OrangeRound5.thisRepN,OrangeRound5.thisTrialN,OrangeRound5.thisN,OrangeRound5.thisIndex,LoopForGreen.thisRepN,LoopForGreen.thisTrialN,LoopForGreen.thisN,LoopForGreen.thisIndex,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,PassI_2.started,PassI_2.stopped,PassInst_2.keys,PassInst_2.rt,PassInst_2.started,PassInst_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,Response_2,Feedback_2,BackGround_2.started,BackGround_2.stopped,Fish_2.started,Fish_2.stopped,WordBox_2.started,WordBox_2.stopped,Words_2.started,Words_2.stopped,BackGround_Feedback_2.started,BackGround_Feedback_2.stopped,Feedbacks_2.started,Feedbacks_2.stopped,Continue_or_not.keys,Continue_or_not.rt,Continue_or_not.started,Continue_or_not.stopped,image_3.started,image_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,startmain.started,startmain.stopped,slider.response,slider.rt,slider.started,slider.stopped,Response,Feedback,BackGround.started,BackGround.stopped,Fish.started,Fish.stopped,WordBox.started,WordBox.stopped,Words.started,Words.stopped,BackGround_Feedback.started,BackGround_Feedback.stopped,Feedbacks.started,Feedbacks.stopped,text.started,text.stopped,break_interval.started,break_interval.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,stratnextround.started,stratnextround.stopped,endgame.started,endgame.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.058136999839917,None,20.058136999839917,None,space,0.3939743002410978,20.55733300000429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
물고기과제_instruction(참가자용)OrangeVersion.mp4,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04037839989178,None,n,3.6557595001067966,24.04037839989178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,1,넌 교활해,5,Green,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Green.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03888889,-0.22314815,1,0,0,0.5132110102567822,None,27.72073129983619,None,34.05727029987611,35.557002699933946,35.59033149993047,36.54040689999238,36.59038919978775,37.54029109980911,37.54029109980911,None,1.6358024651805558,1.3941536000929773,38.83207929995842,None,ScrollUp,정답입니다,38.83207929995842,None,38.83207929995842,None,38.83207929995842,None,38.83207929995842,None,39.920806099893525,None,39.920806099893525,40.42355740000494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,2,넌 슬기로워,2,Orange,A,6.166666666666667,4.1,ScrollDown,ScrollUp,Orange.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1635802586873372,0.8287798999808729,41.04834149987437,None,ScrollDown,정답입니다,41.04834149987437,None,41.04834149987437,None,41.04834149987437,None,41.04834149987437,None,41.77079789992422,None,41.77079789992422,42.27338759996928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,3,나를 보내줘,6,Orange,A,0,0,ScrollUp,ScrollDown,Orange.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5354938271145024,1.7291697999462485,42.898686699802056,None,NoResponse,무응답입니다,42.898686699802056,None,42.898686699802056,None,42.898686699802056,None,42.898686699802056,None,44.52081789984368,None,44.52081789984368,45.0234304999467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,4,나를 데려가줘,6,Green,B,0,0,ScrollDown,ScrollUp,Green.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.040123442808787,1.3153405000921339,45.64046389982104,None,ScrollDown,정답입니다,45.64046389982104,None,45.64046389982104,None,45.64046389982104,None,45.64046389982104,None,46.853740399936214,None,46.853740399936214,47.3537626999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,1,넌 교활해,5,Green,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Green.png,practice,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,7.597381500061601,47.85385459987447,None,47.85385459987447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,1,넌 따뜻해,1,Green,B,6.083333333333333,5.6,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.570245599839836,59.07338059996255,59.10676019988023,60.05668759997934,60.10673819994554,61.05656069982797,61.05656069982797,None,,,,,,,,,,,,,,,,,,,,,,,,,0.035185184,-0.13148148,1,0,0,0.31528970994986594,None,55.470263299997896,None,1.9089506218830745,1.4412589001003653,62.351290999911726,None,ScrollUp,정답입니다,62.351290999911726,None,62.351290999911726,None,62.351290999911726,None,62.351290999911726,None,63.48707269993611,None,63.48707269993611,63.9870519998949,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,2,넌 기품있어,2,Green,B,5.791666666666668,4.5,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9957695000339299,64.62323119980283,None,ScrollUp,정답입니다,64.62323119980283,None,64.62323119980283,None,64.62323119980283,None,64.62323119980283,None,65.50641489983536,None,65.50641489983536,66.01094429986551,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,3,나를 보내줘,6,Orange,A,0,0,ScrollUp,ScrollDown,Orange.png,1,NonTarget,NonTarget,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9675925771395366,1.2986254000570625,66.65006449981593,None,ScrollUp,정답입니다,66.65006449981593,None,66.65006449981593,None,66.65006449981593,None,66.65006449981593,None,67.83668389986269,None,67.83668389986269,68.33671379997395,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,4,넌 수동적이야,4,Orange,A,2.833333333333333,2.933333333333333,ScrollDown,ScrollUp,Orange.png,1,Negative,Incongruent,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0293209950129192,1.148610700154677,68.98187149991281,None,ScrollDown,정답입니다,68.98187149991281,None,68.98187149991281,None,68.98187149991281,None,68.98187149991281,None,70.00632319995202,None,70.00632319995202,70.52298519993201,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,5,넌 사심이 없어,3,Green,B,4.916666666666666,4.333333333333333,ScrollUp,ScrollDown,Green.png,1,Neutral,Neutral,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.486111110386749,0.9790362999774516,71.13667969987728,None,NoResponse,무응답입니다,71.13667969987728,None,71.13667969987728,None,71.13667969987728,None,71.13667969987728,None,71.99035379989073,None,71.99035379989073,72.48952069994994,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,6,넌 헤퍼,5,Orange,A,2.458333333333334,2.233333333333333,ScrollDown,ScrollUp,Orange.png,1,Negative,Incongruent,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0694444576899211,0.9457275001332164,73.11818699981086,None,ScrollDown,정답입니다,73.11818699981086,None,73.11818699981086,None,73.11818699981086,None,73.11818699981086,None,73.9533541998826,None,73.9533541998826,74.45346889994107,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,7,넌 말쑥해,3,Orange,A,4.833333333333334,4.333333333333333,ScrollDown,ScrollUp,Orange.png,1,Neutral,Neutral,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.945841700071469,75.09116569999605,None,ScrollDown,정답입니다,75.09116569999605,None,75.09116569999605,None,75.09116569999605,None,75.09116569999605,None,75.92014029994607,None,75.92014029994607,76.42010989994742,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,8,넌 투덜거려,5,Green,B,2.541666666666667,2.266666666666667,ScrollUp,ScrollDown,Green.png,1,Negative,Congruent,0,0,0,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9922839502493541,0.9648133001755923,77.05740119982511,None,ScrollUp,정답입니다,77.05740119982511,None,77.05740119982511,None,77.05740119982511,None,77.05740119982511,None,77.90614719991572,None,77.90614719991572,78.40611989982426,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,9,넌 적극적이야,1,Orange,A,5.708333333333333,5.533333333333333,ScrollDown,ScrollUp,Orange.png,1,Positive,Congruent,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0124665000475943,79.03405999997631,None,ScrollDown,정답입니다,79.03405999997631,None,79.03405999997631,None,79.03405999997631,None,79.03405999997631,None,79.93952049990185,None,79.93952049990185,80.43944079987705,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,10,넌 재미없어,4,Green,B,2.625,2.966666666666667,ScrollUp,ScrollDown,Green.png,1,Negative,Congruent,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9987355000339448,81.0776338998694,None,ScrollUp,정답입니다,81.0776338998694,None,81.0776338998694,None,81.0776338998694,None,81.0776338998694,None,81.96976409992203,None,81.96976409992203,82.4697390999645,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,11,넌 명석해,2,Orange,A,5.875,4.033333333333333,ScrollDown,ScrollUp,Orange.png,1,Positive,Congruent,0,0,0,0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0030864079793294,0.8074892999138683,83.09930539992638,None,ScrollDown,정답입니다,83.09930539992638,None,83.09930539992638,None,83.09930539992638,None,83.09930539992638,None,83.78673249995336,None,83.78673249995336,84.28943429980427,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,12,나를 데려가줘,6,Green,B,0,0,ScrollDown,ScrollUp,Green.png,1,NonTarget,NonTarget,0,0,0,0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0185184975465138,1.21495379996486,84.9164473998826,None,ScrollDown,정답입니다,84.9164473998826,None,84.9164473998826,None,84.9164473998826,None,84.9164473998826,None,86.02273649978451,None,86.02273649978451,86.52270949981175,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,13,넌 소심해,4,Orange,A,3,3.1,ScrollDown,ScrollUp,Orange.png,1,Negative,Incongruent,0,0,0,0,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9914601999334991,87.1596172999125,None,ScrollDown,정답입니다,87.1596172999125,None,87.1596172999125,None,87.1596172999125,None,87.1596172999125,None,88.03934529982507,None,88.03934529982507,88.53919039992616,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,14,넌 합리적이야,2,Orange,A,5.583333333333333,4.733333333333333,ScrollDown,ScrollUp,Orange.png,1,Positive,Congruent,0,0,0,0,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0290403000544757,89.16835099994205,None,ScrollDown,정답입니다,89.16835099994205,None,89.16835099994205,None,89.16835099994205,None,89.16835099994205,None,90.08654399984516,None,90.08654399984516,90.58920959988609,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,15,넌 무자비해,5,Green,B,2.333333333333333,2.1,ScrollUp,ScrollDown,Green.png,1,Negative,Congruent,0,0,0,0,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8986908001825213,91.21787089994177,None,ScrollUp,정답입니다,91.21787089994177,None,91.21787089994177,None,91.21787089994177,None,91.21787089994177,None,92.00600569997914,None,92.00600569997914,92.50585069996305,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,16,나를 보내줘,6,Orange,A,0,0,ScrollUp,ScrollDown,Orange.png,1,NonTarget,NonTarget,0,0,0,0,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9706790049870808,1.2620240999385715,93.13628679979593,None,ScrollUp,정답입니다,93.13628679979593,None,93.13628679979593,None,93.13628679979593,None,93.13628679979593,None,94.28913629986346,None,94.28913629986346,94.78916889987886,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,17,넌 현실적이야,3,Green,B,4.608695652173913,4.766666666666667,ScrollUp,ScrollDown,Green.png,1,Neutral,Neutral,0,0,0,0,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9089506218830745,1.3790986000094563,95.41577779990621,None,ScrollUp,정답입니다,95.41577779990621,None,95.41577779990621,None,95.41577779990621,None,95.41577779990621,None,96.68645059992559,None,96.68645059992559,97.18907989980653,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,18,넌 의리있어,1,Green,B,5.833333333333334,5.633333333333334,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8816704000346363,97.81465159985237,None,ScrollUp,정답입니다,97.81465159985237,None,97.81465159985237,None,97.81465159985237,None,97.81465159985237,None,98.5891122999601,None,98.5891122999601,99.08640249981545,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,19,넌 신경과민이야,5,Orange,A,2.541666666666667,2.166666666666667,ScrollDown,ScrollUp,Orange.png,1,Negative,Incongruent,0,0,0,0,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9292297000065446,99.72282779985107,None,ScrollDown,정답입니다,99.72282779985107,None,99.72282779985107,None,99.72282779985107,None,99.72282779985107,None,100.53909459989518,None,100.53909459989518,101.0390080998186,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,20,넌 편안해,1,Orange,A,5.916666666666666,5.866666666666666,ScrollDown,ScrollUp,Orange.png,1,Positive,Congruent,0,0,0,0,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8124323000665754,101.6674015999306,None,ScrollDown,정답입니다,101.6674015999306,None,101.6674015999306,None,101.6674015999306,None,101.6674015999306,None,102.36961840000004,None,102.36961840000004,102.87232369999401,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,21,넌 품위있어,2,Green,B,5.291666666666666,4.466666666666667,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8793899000156671,103.49914469989017,None,ScrollUp,정답입니다,103.49914469989017,None,103.49914469989017,None,103.49914469989017,None,103.49914469989017,None,104.26958099985495,None,104.26958099985495,104.77226319978945,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,22,넌 빈틈없어,3,Orange,A,4.833333333333333,3.966666666666667,ScrollDown,ScrollUp,Orange.png,1,Neutral,Neutral,0,0,0,0,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8623577998951077,105.40206120000221,None,ScrollDown,정답입니다,105.40206120000221,None,105.40206120000221,None,105.40206120000221,None,105.40206120000221,None,106.15558639983647,None,106.15558639983647,106.65559149999171,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,23,넌 상상력없어,4,Green,B,2.833333333333333,3.133333333333333,ScrollUp,ScrollDown,Green.png,1,Negative,Congruent,0,0,0,0,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9289331999607384,107.28278269991279,None,ScrollUp,정답입니다,107.28278269991279,None,107.28278269991279,None,107.28278269991279,None,107.28278269991279,None,108.10292819980532,None,108.10292819980532,108.60559029993601,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
,24,넌 지혜로워,2,Green,B,6.333333333333334,4.633333333333334,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9117648000828922,109.24874049983919,None,ScrollUp,정답입니다,109.24874049983919,None,109.24874049983919,None,109.24874049983919,None,109.24874049983919,None,110.0359388999641,None,110.0359388999641,110.53596839983948,,,,,,,,,,,,,,,,101,2023-03-27_10h29.07.541,FishGame,2022.1.1,59.887447496818794,
