name,TrialNum,Word,WordCategory,FishType,WordList,WordValence,WordReputation,CorrectResp,IncorrectResp,FishTypeFile,Round,WordType,Condition,LoopforOrange.thisRepN,LoopforOrange.thisTrialN,LoopforOrange.thisN,LoopforOrange.thisIndex,OrangeInstLoop.thisRepN,OrangeInstLoop.thisTrialN,OrangeInstLoop.thisN,OrangeInstLoop.thisIndex,OrangePrac.thisRepN,OrangePrac.thisTrialN,OrangePrac.thisN,OrangePrac.thisIndex,temp1.thisRepN,temp1.thisTrialN,temp1.thisN,temp1.thisIndex,OrangeRound1.thisRepN,OrangeRound1.thisTrialN,OrangeRound1.thisN,OrangeRound1.thisIndex,OrangeRound2.thisRepN,OrangeRound2.thisTrialN,OrangeRound2.thisN,OrangeRound2.thisIndex,OrangeRound3.thisRepN,OrangeRound3.thisTrialN,OrangeRound3.thisN,OrangeRound3.thisIndex,OrangeRound4.thisRepN,OrangeRound4.thisTrialN,OrangeRound4.thisN,OrangeRound4.thisIndex,OrangeRound5.thisRepN,OrangeRound5.thisTrialN,OrangeRound5.thisN,OrangeRound5.thisIndex,LoopForGreen.thisRepN,LoopForGreen.thisTrialN,LoopForGreen.thisN,LoopForGreen.thisIndex,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,PassI_2.started,PassI_2.stopped,PassInst_2.keys,PassInst_2.rt,PassInst_2.started,PassInst_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,Response_2,Feedback_2,BackGround_2.started,BackGround_2.stopped,Fish_2.started,Fish_2.stopped,WordBox_2.started,WordBox_2.stopped,Words_2.started,Words_2.stopped,BackGround_Feedback_2.started,BackGround_Feedback_2.stopped,Feedbacks_2.started,Feedbacks_2.stopped,Continue_or_not.keys,Continue_or_not.rt,Continue_or_not.started,Continue_or_not.stopped,image_3.started,image_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,startmain.started,startmain.stopped,slider.response,slider.rt,slider.started,slider.stopped,Response,Feedback,BackGround.started,BackGround.stopped,Fish.started,Fish.stopped,WordBox.started,WordBox.stopped,Words.started,Words.stopped,BackGround_Feedback.started,BackGround_Feedback.stopped,Feedbacks.started,Feedbacks.stopped,text.started,text.stopped,break_interval.started,break_interval.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,stratnextround.started,stratnextround.stopped,endgame.started,endgame.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19196780002676,None,18.19196780002676,None,space,0.9315678999992087,18.674596299999394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
물고기과제_instruction(참가자용)OrangeVersion.mp4,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.58961770002497,None,n,3.4576300000189804,96.58961770002497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,1,넌 교활해,5,Green,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Green.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096296296,-0.17685185,1,0,0,0.5143791399314068,None,100.06936239998322,None,104.48581209999975,105.9862179000047,106.02260269998806,106.9865998000023,107.01942740002414,107.96940220001852,107.96940220001852,None,1.8518518557151158,2.1633927000220865,109.2525975999888,None,ScrollUp,정답입니다,109.2525975999888,None,109.2525975999888,None,109.2525975999888,None,109.2525975999888,None,111.11934799997834,None,111.11934799997834,111.619097399991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,2,넌 슬기로워,2,Orange,A,6.166666666666667,4.1,ScrollDown,ScrollUp,Orange.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5480086000170559,112.23835130000953,None,ScrollDown,정답입니다,112.23835130000953,None,112.23835130000953,None,112.23835130000953,None,112.23835130000953,None,113.68573690002086,None,113.68573690002086,114.18574330001138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,3,나를 보내줘,6,Orange,A,0,0,ScrollUp,ScrollDown,Orange.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9722222189108531,1.1647395999752916,114.80601390002994,None,ScrollUp,정답입니다,114.80601390002994,None,114.80601390002994,None,114.80601390002994,None,114.80601390002994,None,115.86915560002672,None,115.86915560002672,116.36908480001148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,4,나를 데려가줘,6,Green,B,0,0,ScrollDown,ScrollUp,Green.png,practice,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1801339999656193,116.98954710003454,None,ScrollDown,정답입니다,116.98954710003454,None,116.98954710003454,None,116.98954710003454,None,116.98954710003454,None,118.06902260001516,None,118.06902260001516,118.56894159998046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,1,넌 교활해,5,Green,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Green.png,practice,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,6.197515900013968,119.06900170003064,None,119.06900170003064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,1,넌 따뜻해,1,Green,B,6.083333333333333,5.6,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.7686071000062,131.26895100000547,131.30225900001824,132.25219369999832,132.3022149000317,133.2521663000225,133.2521663000225,None,,,,,,,,,,,,,,,,,,,,,,,,,0.13796297,-0.11574074,1,0,0,0.3149993399856612,None,125.28536720003467,None,2,1.7612777999602258,134.5436307999771,None,ScrollUp,정답입니다,134.5436307999771,None,134.5436307999771,None,134.5436307999771,None,134.5436307999771,None,136.00206420000177,None,136.00206420000177,136.50516070000594,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,2,넌 기품있어,2,Green,B,5.791666666666668,4.5,ScrollUp,ScrollDown,Green.png,1,Positive,Incongruent,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.2331410000333562,137.1246375000337,None,ScrollUp,정답입니다,137.1246375000337,None,137.1246375000337,None,137.1246375000337,None,137.1246375000337,None,138.24982790002832,None,138.24982790002832,138.75187590002315,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,3,나를 보내줘,6,Orange,A,0,0,ScrollUp,ScrollDown,Orange.png,1,NonTarget,NonTarget,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.2334842000273056,139.37746649998007,None,ScrollUp,정답입니다,139.37746649998007,None,139.37746649998007,None,139.37746649998007,None,139.37746649998007,None,140.5019591000164,None,140.5019591000164,141.00185860000784,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,4,넌 수동적이야,4,Orange,A,2.833333333333333,2.933333333333333,ScrollDown,ScrollUp,Orange.png,1,Negative,Incongruent,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.445699300034903,141.63607830001274,None,ScrollDown,정답입니다,141.63607830001274,None,141.63607830001274,None,141.63607830001274,None,141.63607830001274,None,142.96615530003328,None,142.96615530003328,143.46619290002855,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,5,넌 사심이 없어,3,Green,B,4.916666666666666,4.333333333333333,ScrollUp,ScrollDown,Green.png,1,Neutral,Neutral,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.3691567999776453,144.08814509998774,None,ScrollUp,정답입니다,144.08814509998774,None,144.08814509998774,None,144.08814509998774,None,144.08814509998774,None,145.35193900001468,None,145.35193900001468,145.85184389998903,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,6,넌 헤퍼,5,Orange,A,2.458333333333334,2.233333333333333,ScrollDown,ScrollUp,Orange.png,1,Negative,Incongruent,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.395886700018309,146.4744597999961,None,ScrollDown,정답입니다,146.4744597999961,None,146.4744597999961,None,146.4744597999961,None,146.4744597999961,None,147.76602660003118,None,147.76602660003118,148.26695080002537,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
,7,넌 말쑥해,3,Orange,A,4.833333333333334,4.333333333333333,ScrollDown,ScrollUp,Orange.png,1,Neutral,Neutral,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5955505999736488,148.89475510001648,None,ScrollDown,정답입니다,148.89475510001648,None,148.89475510001648,None,148.89475510001648,None,148.89475510001648,None,150.3851475000265,None,150.3851475000265,150.88509870000416,,,,,,,,,,,,,,,,109,2023-04-03_16h35.12.482,FishGame,2022.1.1,60.030279258823924,
