distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,50.11930849996861,None,53.45677337996894,None,space,51.318380099954084,104.80566680000629,None,106.85316850000527,None,106.85316850000527,None,108.855665900046,None,108.855665900046,None,prac,None,None,1,1.500802000053227,110.86088389996439,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5017994999652728,113.36949179996736,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6521228000055999,115.87208710005507,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.4768677999963984,117.52329729998019,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6018436999293044,119.00273469998501,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7658556000096723,120.60525939997751,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961478000041097,122.37195109995082,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5018488999921829,124.86926529998891,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.48259969998616725,127.37189800001215,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496076599927619,128.85515790001955,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
