distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,31.440978800004814,None,35.832801950001155,None,space,56.64306980004767,92.49817140004598,None,95.16265670000575,None,95.16265670000575,None,97.16230590001214,None,97.16230590001214,None,prac,k,k,1,3.3694269000552595,99.17245240003103,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021261000074446,104.54767560004257,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,0.8458703000214882,107.045511000033,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4870502999983728,109.91178790002596,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,0.7824401999823749,112.39776240003994,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4981919000274502,115.18097079999279,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.6849470000015572,117.67835000000196,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4991906000068411,121.36422049999237,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.2509023000020534,123.86157700000331,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7321388000273146,127.11406530003296,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
